scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,2.3956236839294434,3.2729077339172363,0.0018428664188832045,342.04928851127625,212.65393829345703,1.0,442.4484462738037,191.38637351989746,1.0,251.39851647615433,189.44143104553223,0.9999898672103882,245.3380821943283,293.4580125808716,1.0
1,2.3995441198349,3.171363115310669,0.002115054288879037,342.07391333580017,214.2568588256836,1.0,443.4921922683716,190.9868471622467,1.0,250.55641400814056,189.64169788360596,0.7344191670417786,245.6717003583908,293.5317449569702,1.0
2,2.415678858757019,3.1713039875030518,0.0021453185472637415,342.7471742630005,215.94462895393372,1.0,444.10427379608154,193.64220714569092,1.0,252.2162698060274,189.07159042358398,0.9998986721038818,245.6018944978714,293.8552188873291,1.0
3,2.3093631267547607,3.1402825117111206,0.00202907039783895,342.7679305076599,217.2095341682434,1.0,446.3675525188446,197.6546106338501,1.0,251.54155698418617,190.70521688461304,0.9980206489562988,245.77069866657257,293.59107875823975,1.0
4,2.435001254081726,3.1181623935699463,0.0022642952390015125,342.4051020145416,219.12226104736328,1.0,446.4492471218109,201.52876329421997,1.0,251.04652148485184,191.11177968978882,0.9977807402610779,245.71915519237518,293.7428684234619,1.0
5,2.324064254760742,3.2532929182052612,0.0019456641748547554,342.034428358078,220.7413272857666,1.0,447.1543788909912,204.83589458465576,1.0,251.16707676649094,191.05764722824097,0.9991855025291443,245.9203827381134,293.61698627471924,1.0
6,2.2827388048171997,3.1973262429237366,0.0019177693175151944,341.6492521762848,222.10355377197266,1.0,447.82290625572205,209.79109573364258,1.0,252.2596355676651,189.80258750915527,0.9999973773956299,246.889230966568,292.9591064453125,1.0
7,2.372047543525696,3.185907006263733,0.0018615713343024254,341.76948285102844,224.65137434005737,1.0,448.04239225387573,214.97473669052124,1.0,251.82598368823528,189.73939609527588,0.9999984502792358,246.84087681770325,292.623761177063,1.0
8,2.462951421737671,3.2528874278068542,0.0018432856304571033,341.78545093536377,226.72993850708008,1.0,447.75072407722473,215.21523690223694,1.0,252.0051678866148,189.22667741775513,0.9999949932098389,246.8836407661438,292.74128437042236,1.0
9,2.5138615369796753,3.2846341133117676,0.0016374922124668956,341.7791920900345,227.5649871826172,1.0,444.72281646728516,207.55213165283203,1.0,251.39200949668884,188.8823595046997,0.9999911785125732,246.12456464767456,293.2033290863037,1.0
10,2.5457911491394043,3.2708001136779785,0.0018264115788042545,342.13759446144104,228.682204246521,1.0,446.79089426994324,199.38400173187256,1.0,252.74992209672928,189.89814853668213,0.9846705198287964,247.15161514282227,293.0835437774658,1.0
11,2.489404320716858,3.270776331424713,0.0019773158710449934,341.5843857526779,227.30869817733765,1.0,446.0538499355316,181.66319465637207,1.0,251.9499926008284,189.95889139175415,0.9999845027923584,247.45410442352295,293.34636402130127,1.0
12,2.376312732696533,3.3211522698402405,0.00195902306586504,342.2505612373352,228.12883949279785,1.0,440.42305612564087,174.34574055671692,1.0,251.51699060201645,190.09103107452393,0.9999990463256836,246.83877515792847,293.53345680236816,1.0
13,2.420899271965027,3.2773165106773376,0.001862900797277689,343.74304485321045,228.84859657287598,1.0,450.621910572052,184.9047498703003,1.0,253.8635036945343,190.55589532852173,0.9999998807907104,246.5141875743866,292.97929286956787,1.0
14,2.453506827354431,3.3210915327072144,0.0021365585271269083,342.68803215026855,228.71944522857666,1.0,434.2170958518982,187.18628406524658,1.0,253.5574073791504,189.84382915496826,0.9999997615814209,246.66841053962708,293.0089178085327,1.0
15,2.4632303714752197,3.3011382818222046,0.0019013072596862912,342.5884475708008,230.49735355377197,1.0,423.085896730423,183.8171362876892,1.0,251.66379171609879,189.7203106880188,0.9999988079071045,246.97285723686218,292.76215171813965,1.0
16,2.400947332382202,3.2425233125686646,0.001916521112434566,343.99620389938354,232.5793719291687,1.0,429.53370201587677,180.9464225769043,1.0,251.74402901530266,189.80056524276733,0.9999938011169434,247.21650910377502,293.1693305969238,1.0
17,452.5344572067261,183.8489112854004,0.006343440618366003,350.29049253463745,209.7879204750061,1.0,432.6695749759674,165.56360340118408,1.0,249.48349857330322,191.65734195709229,0.9998928308486938,248.18302726745605,293.24402141571045,1.0
18,450.8295965194702,186.27734768390656,0.058472178876399994,3.8816686421632767,3.4018567204475403,0.0028264375869184732,428.604369699955,165.0243911743164,1.0,251.79833580553532,192.4931445121765,0.9997969269752502,246.00203037261963,295.6380841732025,1.0
19,449.4123911857605,183.45207023620605,0.012097234837710857,339.32991433143616,186.19832706451416,1.0,428.3835466504097,163.71989345550537,1.0,249.00576782226562,190.16925859451294,0.998472273349762,245.53661787509918,292.5838632583618,1.0
20,446.6541848182678,183.42427825927734,0.004193762317299843,342.54846835136414,185.2780647277832,1.0,425.6969871520996,163.80577039718628,1.0,249.3055934906006,189.50472593307495,0.9998800754547119,244.5761581659317,293.8449640274048,1.0
