scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,403.2849311828613,190.2742075920105,0.0025862085167318583,259.29262590408325,196.38186633586884,1.0,372.224289894104,208.01642417907715,1.0,417.44133162498474,194.84075593948364,1.0,181.21362018585205,314.0242528915405,1.0
1,403.39756774902344,190.20201778411865,0.0013406574726104736,259.9218912124634,197.96725058555603,1.0,372.184592038393,211.02961254119873,1.0,417.62620186805725,195.13205766677856,1.0,181.21620559692383,313.90820503234863,1.0
2,403.76927280426025,199.44039869308472,0.001147024566307664,261.34724152088165,198.81441640853882,1.0,372.0197763442993,217.37888050079346,1.0,417.72022914886475,195.04755020141602,1.0,180.96862697601318,313.84855937957764,1.0
3,403.6525716781616,199.66210651397705,0.001112844212912023,262.45334935188293,201.2398738861084,0.9999498128890991,370.9148111343384,223.83635544776917,1.0,187.49944651126862,191.1208348274231,1.0,180.79700660705566,313.9239511489868,1.0
4,404.7569465637207,199.8269190788269,0.0005368532729335129,261.5564296245575,202.9203361272812,0.9999998807907104,367.3375976085663,231.16178822517395,1.0,186.81215465068817,191.62628483772278,1.0,181.4245777130127,314.1267533302307,1.0
5,404.5326075553894,199.9606590270996,0.0006421439466066658,260.6601502895355,204.1082967221737,1.0,367.05661845207214,236.44803428649902,1.0,418.7339254617691,195.2052240371704,1.0,181.68034076690674,313.86320447921753,1.0
6,404.36399269104004,200.375629901886,0.0003355175140313804,259.8842930793762,204.21256710588932,1.0,368.85453510284424,239.29806542396545,1.0,418.21007120609283,195.49466848373413,1.0,181.18492698669434,313.7228136062622,1.0
7,404.9392228126526,200.49527764320374,0.0009172452846542001,259.08377027511597,204.3803363442421,1.0,368.6853942871094,238.10957026481628,1.0,418.78543508052826,195.47607040405273,1.0,180.73906135559082,313.3778624534607,1.0
8,404.77471256256104,200.66452622413635,0.0023506730794906616,257.90037870407104,205.7333413362503,1.0,367.4393436908722,233.34148502349854,1.0,419.18192279338837,195.6362442970276,1.0,181.64599895477295,313.4649705886841,1.0
9,405.2247123718262,200.8262162208557,0.0008826647535897791,258.5231885910034,209.0607557296753,1.0,366.2595283985138,237.27043628692627,1.0,419.7432251572609,195.52806425094604,1.0,181.58073711395264,313.7993850708008,1.0
10,405.0778875350952,200.594829082489,0.0015656906180083752,258.21912908554077,209.94141340255737,1.0,364.09112071990967,234.55341386795044,1.0,419.7532770037651,195.19283771514893,1.0,181.0166530609131,313.1172342300415,1.0
11,405.81319999694824,200.63571858406067,0.000378361321054399,259.66518834233284,213.48803997039795,1.0,362.0663582086563,237.397292137146,1.0,420.06581825762987,195.02635288238525,1.0,181.02253913879395,312.99930715560913,1.0
12,373.3715486526489,246.21075820922852,0.0001312420063186437,259.3678879737854,215.45814037322998,1.0,360.86414432525635,239.80455660820007,1.0,419.03841334581375,194.75370073318481,1.0,181.61950016021729,313.09412908554077,1.0
13,404.88535928726196,200.02408528327942,0.00023524930293206125,259.39319640398026,219.61829376220703,1.0,356.71201610565186,232.197660446167,1.0,419.5569463670254,195.0334448814392,1.0,181.51038646697998,312.8762140274048,1.0
14,377.3286418914795,223.0812749862671,0.005264926236122847,262.00514578819275,223.81655502319336,1.0,355.3344283103943,218.7457046508789,1.0,420.5817996263504,194.6581268310547,1.0,181.70704460144043,313.193799495697,1.0
15,374.6414170265198,210.60821151733398,0.999998927116394,260.2744379937649,225.13449621200562,1.0,349.71287405490875,205.2244462966919,1.0,419.9356512129307,195.31955432891846,1.0,181.25408458709717,313.5053277015686,1.0
16,372.09726151824,207.273832321167,1.0,261.1944657564163,225.15146207809448,1.0,343.6976890563965,188.6525707244873,1.0,419.5909788906574,194.20548009872437,1.0,180.4445400238037,313.1971263885498,1.0
17,372.10607692599297,205.40590035915375,1.0,263.0729615688324,223.58007502555847,1.0,332.65141117572784,171.19727277755737,1.0,419.88611087203026,194.05280208587646,1.0,180.89363288879395,313.22986793518066,1.0
18,350.76567673683167,166.04017400741577,1.0,265.21693325042725,220.5341078042984,1.0,318.99829959869385,157.7018587589264,1.0,419.41849851608276,194.19353723526,1.0,180.85323810577393,313.08240699768066,1.0
19,343.35552620887756,184.17265224456787,1.0,267.92154121398926,219.4330193400383,1.0,312.9988589286804,151.9513397216797,1.0,419.4506621956825,194.00322246551514,1.0,181.16075706481934,313.28712034225464,1.0
20,342.94798827171326,187.36142301559448,1.0,252.87213706970215,172.53436470031738,1.0,307.747362613678,144.90184831619263,1.0,419.0681282877922,193.9707932472229,1.0,181.11913394927979,312.1288146972656,1.0
21,340.85293328762054,190.5151813030243,1.0,233.93706130981445,184.79279565811157,1.0,293.25581979751587,158.71690559387207,1.0,418.9214025735855,193.9705753326416,1.0,180.63824558258057,312.9347743988037,1.0
22,341.35644459724426,192.93991804122925,1.0,228.7139186859131,188.5132875442505,1.0,285.1449203491211,167.6648349761963,1.0,420.15505431592464,192.9774284362793,1.0,180.5027313232422,313.04538202285767,1.0
