scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,399.8724868297577,169.86282300949097,1.0,240.94672679901123,182.9961655139923,0.9999985694885254,308.31495571136475,168.11994647979736,1.0,424.6004047393799,163.69012117385864,1.0,185.55463933944702,288.74636602401733,1.0
1,399.2823235988617,171.03185814619064,1.0,239.16141366958618,188.2513785660267,0.9999991655349731,309.8501447439194,173.1710958480835,1.0,424.8658289909363,164.02206730097532,1.0,185.0176854133606,287.8050057888031,1.0
2,399.1185030937195,174.41702342033386,1.0,236.2598261833191,187.08419716358185,0.9999988079071045,310.1782224178314,176.42761039733887,1.0,424.7398376464844,164.5093674659729,1.0,185.3116273880005,288.0104203224182,1.0
3,400.2947611808777,175.4667739868164,1.0,237.7641886472702,190.7455711364746,0.9999202489852905,313.04388761520386,186.0374631881714,1.0,424.8956265449524,164.55466204881668,1.0,184.0307502746582,288.45488262176514,1.0
4,400.49422788619995,177.04508638381958,1.0,240.36811637878418,194.52181112766266,0.9998255372047424,313.9990825653076,191.65117287635803,1.0,424.6444630622864,164.24618555605412,1.0,183.9375355243683,288.3830180168152,1.0
5,401.16768169403076,175.55952382087708,1.0,241.30331993103027,200.11514544487,0.01800130121409893,318.4518520832062,203.141845703125,1.0,425.0556049346924,163.71408265829086,1.0,183.62366461753845,289.0922589302063,1.0
6,400.7611572742462,177.95964813232422,1.0,4.327001929283142,3.6141777634620667,0.0018983895424753428,322.1451727151871,214.65369606018066,1.0,424.29844903945923,164.43776988983154,1.0,184.6557812690735,289.518262386322,1.0
7,400.47227931022644,181.04293024539948,0.9999988079071045,237.41810584068298,205.47797536849976,0.1354009062051773,325.52494382858276,219.16093063354492,1.0,424.7489204406738,163.5243019759655,1.0,184.83115816116333,289.532518863678,1.0
8,401.5673568248749,181.67219364643097,0.9999911785125732,236.4395473599434,207.78931522369385,0.5774432420730591,328.9163212776184,222.0477156639099,1.0,424.6668086051941,163.6205994784832,1.0,183.9242868423462,289.8294367790222,1.0
9,401.45998311042786,184.3847713470459,0.9992109537124634,232.46684789657593,206.07695508003235,0.05348379909992218,322.71216547489166,221.47574615478516,1.0,424.5936975479126,164.22002743184566,1.0,184.23884534835815,290.00935888290405,1.0
10,399.6135094165802,190.43033838272095,0.9994164705276489,236.94405281543732,209.08888411521912,0.8546186089515686,319.79024481773376,218.82732725143433,1.0,425.2331347465515,163.93993454053998,1.0,184.2278504371643,290.3690071105957,1.0
11,396.9049953818321,195.91202023625374,1.0,237.8016426563263,209.9257311820984,0.9962896108627319,313.6336965560913,214.87409782409668,1.0,425.0854740142822,164.05684265121818,1.0,183.37869572639465,290.03734731674194,1.0
12,397.5213987827301,194.62077295780182,1.0,239.62124013900757,210.24045932292938,0.9958380460739136,315.01669692993164,215.568345785141,1.0,424.8293924331665,164.20071351528168,1.0,183.2258424758911,289.7316937446594,1.0
13,394.72890734672546,195.70793575048447,1.0,241.17550563812256,207.17517733573914,1.0,312.11724042892456,203.2617893218994,1.0,424.23571491241455,165.20150315761566,1.0,184.0449981689453,289.7201499938965,1.0
14,393.8031120300293,195.5197093784809,1.0,242.45346641540527,209.26415824890137,1.0,313.9019317626953,190.01757526397705,1.0,424.29649543762207,164.7427600622177,1.0,183.65622282028198,289.86111068725586,1.0
15,395.3624687194824,195.02558547258377,1.0,243.11807227134705,206.13233947753906,1.0,317.06250286102295,183.48449063301086,1.0,424.5913734436035,167.73206615447998,1.0,184.62378120422363,289.1890707015991,1.0
16,395.3493461608887,195.8317554295063,1.0,242.68119502067566,205.70664310455322,1.0,311.6649765968323,180.54766273498535,1.0,425.27041840553284,169.4786615371704,0.9999982118606567,184.8702096939087,288.9198431968689,1.0
17,396.9443776011467,197.91012334823608,1.0,241.753351688385,208.43855810165405,1.0,309.2432804107666,182.76499938964844,1.0,425.33348274230957,172.56695729494095,0.9999998807907104,186.12377834320068,288.70646381378174,1.0
18,396.34964695572853,199.71782422065735,1.0,240.6069631576538,211.76671266555786,1.0,308.7304952740669,189.96007347106934,1.0,426.2209768295288,172.74509918689728,0.9999988079071045,186.27679920196533,289.14975118637085,1.0
19,393.46615767478943,203.30346584320068,1.0,239.90433287620544,215.4575538635254,1.0,306.9334568977356,195.66737365722656,1.0,424.03079175949097,165.6543788909912,0.9999997615814209,183.99241185188293,289.51818084716797,1.0
20,392.63779163360596,205.60042226314545,1.0,238.18682384490967,218.64356327056885,1.0,307.8768912181258,205.40942764282227,1.0,423.73011803627014,164.21117621660233,1.0,183.26513123512268,289.5160388946533,1.0
21,392.6977119445801,208.91647338867188,1.0,239.4791419506073,222.03202533721924,1.0,306.7041358947754,211.32016944885254,1.0,423.8628168106079,162.77999138832092,1.0,182.60573530197144,289.6187686920166,1.0
22,392.67746019363403,212.1145479977131,1.0,239.2545976638794,225.59934997558594,1.0,306.8586754798889,218.12747716903687,1.0,424.1273994445801,162.31932759284973,1.0,182.24761939048767,289.57072496414185,1.0
