scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,334.2142286,195.2433764,1,336.921293,194.0273199,0.400853634,182.0522189,210.8150563,1,399.9115486,178.3587918,1,164.8862281,294.9602814,1
1,334.5947723,196.9181235,1,336.2448118,194.7265167,0.30817017,183.6714277,214.49528,1,400.2146969,178.5866594,1,164.8618546,295.052835,1
2,334.5861158,200.3212042,0.999999881,336.4914689,199.0818515,0.26192072,184.2999864,218.1185842,1,400.0505528,178.1845756,1,165.8138695,294.9946454,1
3,334.0237129,201.4877732,0.999999762,335.9798684,200.0914025,0.279685616,184.3394485,221.6502628,1,399.9711616,177.6682129,1,165.8531237,294.0141783,1
4,334.9371545,205.2670207,0.999999642,337.4770005,205.7571682,0.025672434,185.5314631,227.4713387,1,399.7338364,177.9359322,1,166.3619738,293.0227609,1
5,337.346854,205.5466796,1,340.6925324,206.0174556,0.013840634,190.9575701,232.6588583,1,400.214889,178.4943919,1,172.7315588,294.220963,1
6,337.7871447,207.3171015,1,341.6681027,207.4290884,0.002443353,191.8968341,237.9763581,1,400.1006055,178.5698266,1,180.1824757,294.3766823,1
7,337.8767781,209.6461754,1,341.6148109,209.130847,0.002440988,190.6794667,244.6825883,1,399.9977236,178.5087209,1,184.181633,295.0994756,1
8,337.6243398,211.3166871,1,342.5460148,211.7081761,0.001123452,189.5597738,252.2775593,1,399.7563887,178.3410897,1,188.4461489,294.8982592,1
9,337.9348791,212.8397999,1,342.1133194,211.8866976,0.00190683,191.5561717,256.0506706,1,399.6443081,178.1526175,1,194.243969,296.1606197,1
10,339.3050838,213.6820099,1,343.2300143,214.2139928,0.000985077,193.3666553,261.2030796,1,399.6458533,178.1061049,1,200.7935905,297.103749,0.999952674
11,339.0247836,216.4970388,1,191.9454308,261.8601166,0.267522514,201.5707827,262.0913846,1,398.9617403,178.1852469,1,165.3053429,296.4540944,0.999997139
12,339.610675,218.7495632,1,192.2295625,260.0837606,0.889469087,202.8821414,260.0057449,1,399.1786311,178.2329707,1,166.1755395,296.5458884,0.999729693
13,337.8596697,222.4210684,1,186.0902992,258.408672,0.648572803,199.0970471,252.6730661,1,399.1722293,177.9034314,1,203.5084178,297.5150089,0.994004428
14,337.2559359,221.5353518,1,191.9134011,237.3660851,0.000679586,198.6505754,230.5560546,1,398.2775848,177.4995103,1,192.3079143,295.4801025,1
15,336.6141481,220.3002853,1,177.4915037,181.5111381,0.273490101,209.8543773,206.1213179,1,400.0046215,177.4362497,1,197.3066368,295.878124,1
16,334.7367671,219.3929586,1,184.7900965,175.1971583,0.002231805,215.2232666,184.5140104,1,399.8589206,177.5492225,1,198.1936483,295.3511777,1
17,320.9349217,168.1580667,1,189.4645114,171.2667542,0.999054968,223.0008469,154.972713,1,398.8095891,176.9987154,1,196.3367786,295.4887247,1
18,332.2704045,170.2120676,1,198.9984007,168.520443,1,238.1605091,145.4472556,1,399.8608849,177.6298637,1,165.9659214,295.8174098,1
19,331.5172098,172.6881247,1,205.6622773,174.8121243,1,252.4624009,143.2381935,1,399.120419,177.3237815,1,168.8623371,296.0476995,1
20,330.3650305,171.9876103,1,209.9688315,172.4440031,1,258.5436959,135.8680418,1,398.1920068,177.2513542,1,169.5165486,296.095737,1
21,331.4174577,170.9416623,1,232.1756082,128.0054069,1,261.5900154,119.8648446,1,397.6451622,178.1480575,1,168.491796,296.0045471,1
22,333.5350362,171.8194532,1,412.0861406,183.9924088,0.000104242,258.9977255,119.2913852,1,397.9990052,178.4276752,1,167.165885,295.5043099,1
23,333.1344705,174.9991715,1,191.7156882,285.6499354,0.000191307,257.580157,126.4241018,1,399.2707217,177.8949337,1,166.5686331,295.212719,1
24,333.8340714,177.0783262,1,231.1003809,167.118938,1,261.8555051,143.3575888,1,399.4130244,178.1784453,1,168.3169551,295.3570037,1
25,335.8114531,175.9141676,1,232.4516573,167.8681002,1,266.4359183,140.9883871,1,400.0508561,178.5570359,1,168.9863982,295.6849957,1
26,335.0461969,174.0336838,1,230.6032007,165.1529893,0.999690771,270.3408422,120.6332641,1,399.7477152,178.6471114,1,168.9724307,296.0515251,1
27,329.4922211,172.9754868,1,225.6530962,167.2158773,1,265.0477371,110.4761639,1,398.9182436,178.7064052,1,169.4024,294.7213333,1
28,331.0673609,174.9389763,1,225.1470861,168.4550672,1,265.073076,111.4428053,1,398.7028,178.5926752,1,168.8644509,294.1515865,1
29,328.8793869,173.5708284,1,228.00441,168.6822166,0.999965787,269.5511634,110.0654411,1,399.324563,178.7446175,1,168.8524685,295.1977057,1
30,332.235775,165.0532124,1,230.6638637,166.9989111,0.992668629,273.711482,112.2854095,1,399.4473259,178.2684488,1,168.6038113,294.2284336,1
31,332.1470202,164.9862175,1,240.8824258,168.6770291,1,285.7852254,107.9128308,1,398.9657841,178.2856474,1,166.4707632,295.1151452,1
32,333.2163458,166.6665878,1,239.2315903,168.9557528,1,285.8545892,109.5752544,1,399.8234985,178.1008511,1,167.5892417,295.9903412,1
