scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,359.1448157,130.5406737,1,236.79254,115.3611866,0.464764774,249.247869,80.23011351,1,422.2713671,123.4724507,1,193.8382587,239.832247,1
1,360.3983459,131.1811759,1,364.2885499,130.385736,0.020991759,248.1171498,82.95876789,1,422.5471394,123.3319578,1,194.5859632,240.0291257,1
2,361.4651017,132.8695428,1,365.1093545,131.5924092,0.009489128,249.5555034,90.23225117,1,423.085346,122.8681097,1,193.9627161,240.1812019,1
3,361.6682191,134.1864498,1,365.4785447,132.7000393,0.002568014,247.954231,95.56160712,1,423.2395902,122.1571536,1,193.6673288,241.0764027,1
4,363.4376254,136.0923057,1,253.8416795,481.4191041,0.000542048,250.4752035,103.7432871,1,422.9797087,121.6668382,1,192.5955243,241.5779891,1
5,364.1384172,137.8090086,1,211.7912501,123.7899362,0.011353105,249.4934916,107.7543674,1,423.0813332,121.5939817,1,191.9026885,240.9292698,1
6,363.9507227,139.4456701,1,217.6218259,118.127615,0.774022102,248.5083756,116.1191874,1,423.2465873,122.433815,1,192.6179566,240.1034503,1
7,365.2094169,141.0476866,1,220.5888635,118.3280663,0.81432122,247.7089086,121.5067077,1,423.0825088,123.0990653,1,191.6305239,239.4785295,1
8,365.4033877,143.3554699,1,226.0916901,124.4335203,0.997072816,249.7023835,131.461741,1,422.8170679,122.8935552,1,194.6518826,239.91591,1
9,365.2271644,145.3075547,1,226.6951771,128.341804,0.734347343,251.6852045,138.2964802,1,422.652622,123.0494232,1,207.7419853,240.6935315,1
10,364.9974113,147.3966718,1,231.1506748,145.4577188,0.355285883,250.9742284,146.5055523,1,422.1377809,122.9527359,1,222.4534147,240.1811147,1
11,365.6476713,149.4291487,1,233.2492285,160.2582729,0.439935684,252.3367893,158.818718,1,422.2211847,123.3856006,1,194.0761037,239.4476161,1
12,366.5691814,151.5804663,1,235.7622885,167.9667058,0.033015352,255.1271274,165.7209015,1,422.5182443,122.9183135,1,193.7887516,239.2608213,1
13,367.5208502,152.584384,1,232.2304699,153.6208322,0.038844116,253.5849355,157.4892797,1,421.833389,123.5027189,1,193.940536,237.5456958,1
14,367.5405636,154.1635852,1,224.6456895,132.2923906,0.913193047,251.6912384,151.7188849,1,421.6724939,122.8005877,1,222.0836952,240.2307453,1
15,367.5394683,155.4556265,1,222.2558517,129.5854502,0.051253341,251.3134975,144.1592493,1,423.6151958,122.9015565,1,222.0144694,239.6013987,1
16,368.5029807,155.0966811,1,231.7078533,127.1262174,0.098213352,257.8761973,126.33424,1,423.42746,123.5172477,1,194.0665803,241.2436829,1
17,362.9365649,151.604512,1,235.3994176,113.4589455,0.032130104,260.7026463,94.4291153,1,423.4848289,123.154706,1,194.4737282,240.4745097,1
18,353.4160419,87.12025666,1,234.9574198,104.3691077,0.999999523,269.2101555,68.47629356,1,422.3081455,123.9738932,1,194.7346134,240.1147299,1
19,355.0064182,114.1448023,0.991354883,250.3890085,117.895462,1,290.371161,62.91093564,1,422.7598777,122.5203114,1,195.5944587,237.8400183,1
20,358.3764205,114.0144118,0.999999881,251.6872309,114.3462381,1,298.0851674,53.68002892,1,423.5187054,123.1656013,1,191.9173329,237.9249771,1
21,361.4135733,115.2434084,1,250.3083229,98.31372738,1,298.50526,41.38140202,1,423.4348781,123.2014151,1,193.2002268,238.466028,1
22,358.1434941,116.3994565,1,249.0743895,111.9098141,1,278.8730335,53.28432524,1,422.1055045,123.5382051,1,193.1957774,237.5842597,1
23,356.3087861,115.2300602,1,245.6169146,113.9622324,0.999229193,275.6530918,42.28912497,1,422.0660245,122.7516017,1,195.2090464,238.2931528,1
24,358.2314229,115.94101,1,254.4202483,481.6786361,0.000906327,275.7198998,33.75495529,1,421.6484183,122.4292717,1,193.6832829,239.4073861,1
25,353.1545024,112.9145246,1,228.757775,115.640562,0.999404788,280.9750123,27.21103287,1,421.7480556,122.3888865,1,193.2570982,239.0617621,1
26,350.6848965,111.783746,1,202.8137022,128.6437986,0.99988997,282.1969118,27.42681819,1,422.4079945,123.3792925,1,193.2487712,238.2756534,1
27,352.6743565,112.7830524,1,248.3041058,104.1573372,0.890132785,280.3334589,27.33592892,1,422.2678657,123.5413842,1,193.9169574,239.9780819,1
28,353.1028333,112.3427005,1,246.5644042,97.51493692,0.999964237,278.0980587,27.68147612,1,423.0581477,123.7101421,1,193.3927712,238.8204935,1
29,351.1397548,112.6188188,1,245.776793,107.3859053,1,274.9267492,30.91563416,1,423.480387,123.9707203,1,193.0068955,239.2540312,1
30,354.7911487,115.2784603,1,247.5190096,112.334754,1,271.4309742,33.69559526,1,422.0729899,123.432312,1,193.4844246,239.4316196,1
31,353.0295835,116.529092,1,243.9223362,112.9792852,1,261.5210829,50.83381367,1,422.0461388,122.9753871,1,195.6536336,240.6322932,1
32,355.2372441,118.8434577,1,238.1027918,114.5871905,0.38357088,248.2202353,74.07167196,1,421.7899355,122.8197541,1,192.0007944,240.3113141,1
