scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,346.999449133873,170.23900842666626,1.0,3.467342972755432,3.1892372369766235,0.003589089261367917,216.21400499343872,156.20770835876465,1.0,415.44599294662476,151.80418729782104,0.9999997615814209,195.40198230743408,266.72192096710205,1.0
1,347.4508625268936,170.83034372329712,1.0,3.4426939487457275,3.2909646034240723,0.003385055111721158,216.53230953216553,159.34901428222656,1.0,417.0058944225311,153.69148445129395,1.0,194.18202304840088,267.06248712539673,1.0
2,346.9243950843811,173.62764704227448,1.0,3.493454396724701,3.112937331199646,0.00363541510887444,216.67561435699463,166.298996925354,1.0,417.0022773742676,154.8402705192566,1.0,190.04289865493774,267.61024951934814,1.0
3,345.5722246170044,177.54083633422852,1.0,3.408707082271576,3.163291811943054,0.0035260242875665426,217.20586776733398,169.33470344543457,1.0,417.4249200820923,155.2532353401184,1.0,191.20106172561646,268.0625801086426,1.0
4,346.3999423980713,179.02515304088593,1.0,3.423746168613434,3.1663031578063965,0.0036622793413698673,217.77035999298096,171.42321014404297,1.0,415.7089202404022,155.15459632873535,1.0,192.08252000808716,268.3730068206787,1.0
5,345.9420042037964,179.64933598041534,1.0,3.4324405789375305,3.1556249260902405,0.003648983081802726,219.28832626342773,171.99229955673218,1.0,417.56620597839355,154.4188895225525,1.0,193.38378238677979,268.0186653137207,1.0
6,345.82911348342896,181.32028996944427,1.0,3.4304402470588684,3.1732532382011414,0.00370378652587533,220.07409954071045,172.18708038330078,1.0,417.68712520599365,154.22624111175537,1.0,195.69581532478333,266.88922929763794,1.0
7,344.9653606414795,181.83980357646942,1.0,3.5105056166648865,3.3619881868362427,0.0034582875669002533,219.41044569015503,171.88726377487183,1.0,417.318076133728,154.46890592575073,1.0,193.1787257194519,267.6635298728943,1.0
8,344.5599627494812,183.49678349494934,1.0,3.486769378185272,3.135996639728546,0.003752254182472825,218.9508867263794,169.60543727874756,1.0,414.95539593696594,154.31858921051025,1.0,190.6015326976776,267.52671480178833,1.0
9,344.22337341308594,184.64135646820068,1.0,3.5004244446754456,3.1462380290031433,0.003863554447889328,222.37907361984253,174.81926441192627,1.0,416.436372756958,154.71543407440186,1.0,196.5474607348442,267.4045286178589,1.0
10,344.9228711128235,186.97099447250366,1.0,3.5108514428138733,3.1235461831092834,0.003929493948817253,223.19380927085876,176.8413381576538,1.0,417.41154527664185,154.81112957000732,1.0,194.32548570632935,267.4220595359802,1.0
11,344.76237392425537,189.42574310302734,1.0,3.51070973277092,3.104695737361908,0.0039496649987995625,222.48299145698547,179.0852551460266,1.0,416.7177577018738,154.48054599761963,1.0,195.46599358320236,267.41362714767456,1.0
12,344.83262848854065,189.83367443084717,1.0,3.3895967602729797,3.199397385120392,0.003585271304473281,222.2476589679718,176.27715492248535,1.0,416.27616596221924,154.51815557479858,1.0,195.84327375888824,267.1136198043823,1.0
13,343.65037274360657,190.96229672431946,1.0,3.3938812017440796,3.1445964574813843,0.003700712462887168,224.3673357963562,162.20150804519653,1.0,415.8925337791443,154.25046491622925,1.0,198.61870408058167,266.53329849243164,1.0
14,343.45803904533386,189.81529903411865,1.0,3.417052149772644,3.1344040632247925,0.0036473434884101152,230.12818574905396,142.3163137435913,1.0,415.6241226196289,154.35652875900269,1.0,229.23362958431244,266.1605386734009,1.0
15,340.21106719970703,185.70343923568726,1.0,231.06392645835876,171.87977006286383,0.01877347007393837,234.60555267333984,114.63516616821289,1.0,416.7031059265137,155.0382981300354,1.0,197.25869584083557,266.8405876159668,1.0
16,333.77613162994385,183.9700255393982,1.0,3.411747097969055,3.137905180454254,0.0037085460498929024,236.75794506072998,84.7805963754654,1.0,416.3352394104004,154.38923931121826,1.0,200.32211780548096,266.07764434814453,1.0
17,331.36568880081177,174.76408886909485,1.0,226.26853835582733,125.55885100364685,0.8798665404319763,251.3156123161316,73.59684991836548,1.0,416.1624460220337,153.47953844070435,1.0,200.6561484336853,265.68692922592163,1.0
18,331.4339852333069,151.50576496124268,1.0,3.42620712518692,3.1277244687080383,0.003553177462890744,249.33842658996582,64.8027868270874,1.0,416.12721586227417,154.2698245048523,1.0,229.4197062253952,267.1994571685791,0.9965630173683167
19,344.85669326782227,133.5595419406891,1.0,241.95602464675903,145.94022488594055,0.25185367465019226,255.73372626304626,70.08460879325867,1.0,416.92632579803467,155.21837329864502,1.0,200.08457612991333,265.46008682250977,1.0
20,347.66767796874046,142.9126214981079,0.9999986886978149,240.1318337917328,143.76982951164246,0.9980000853538513,258.3920786380768,58.789630651474,0.9999998807907104,416.8714461326599,153.86787128448486,1.0,200.31452131271362,265.553017616272,1.0
21,347.3863586783409,142.12830471992493,0.9981673955917358,240.39356398582458,143.79410028457642,0.6055673360824585,249.8486442565918,41.183149337768555,0.9999994039535522,417.002977848053,153.7321743965149,1.0,200.25393629074097,266.4940128326416,1.0
