scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,385.3847258,134.2932286,0.999999881,266.3419595,127.1780429,0.999987245,339.9498461,81.94635057,1,418.7784499,133.5842146,1,206.7999365,238.4079862,1
1,383.6831694,132.8036951,1,268.2482554,128.2210815,0.999998689,336.909884,81.43744349,1,417.877867,132.9200043,1,205.5588415,237.9977101,1
2,385.7834463,133.6140454,1,268.0130217,127.9994559,0.999999881,332.2997732,79.89112711,1,416.4147601,133.3082229,1,206.296901,237.3823351,1
3,385.0562074,133.7813895,0.999999762,268.3324964,128.840003,1,335.9883308,72.60093355,1,415.3130677,133.2584767,1,206.2567122,237.4246845,1
4,386.0470085,134.9747374,0.999999881,266.6469508,129.2528176,1,335.8527808,73.39132333,1,415.7043593,134.115525,1,205.6947443,237.8294539,1
5,387.2316806,136.5994425,1,267.1262348,130.767558,0.999999404,337.5778379,74.32332385,1,415.4039545,133.9976082,0.999999762,205.7276783,238.652015,1
6,385.4541473,135.3530338,1,267.7613128,130.9460834,0.999999523,338.8789587,78.23153424,1,416.2728143,133.564621,0.999999166,206.2447603,238.7039495,1
7,391.738246,138.5444788,0.971476018,265.4484472,131.1797009,1,337.2416663,91.70237827,1,416.1664231,135.4464371,0.999999523,205.6221423,238.7434618,1
8,393.2336254,137.8997872,0.999999642,264.6076751,130.6680385,1,353.4078588,102.4175837,1,418.0468378,133.6117388,1,206.6965539,238.0870624,1
9,393.8761873,141.0222778,1,265.1856294,130.6630616,1,356.4423552,109.2546272,1,418.5564754,133.312559,1,207.1547976,237.6074271,1
10,395.0574695,140.8343985,1,266.0101428,132.8215355,1,358.6638713,117.1867208,1,418.778468,133.9282101,1,207.6979189,237.9099083,1
11,393.2153835,149.4354687,0.028545817,265.9354982,135.0348601,1,361.6157007,131.862895,1,418.4751253,133.255542,1,205.6700939,238.6599545,1
12,398.3355596,137.3686926,0.90444988,265.803915,135.175915,1,358.2962756,124.5999098,1,415.6886854,133.043043,1,207.9220119,238.2797189,1
13,402.3282522,125.9944557,0.005850596,266.4713659,136.3180547,1,375.3243601,120.606802,1,418.7421525,132.9255112,1,206.5071533,238.0383453,1
14,405.0034052,133.5481491,0.003325466,266.3555565,138.0367217,1,382.4263918,132.8138494,1,418.3626132,132.5577357,0.999992728,205.3924659,237.7356286,1
15,408.544172,129.0327058,0.140700459,266.1102529,139.3336005,1,385.7899337,128.1238604,1,417.2276664,133.8188224,0.999919295,205.2938144,238.169379,1
16,407.400815,127.7457123,0.219072253,265.770561,141.5044384,1,381.9062215,125.565836,1,415.7532892,133.5188851,0.999572814,204.8960841,238.4579642,1
17,409.5858443,128.4712965,0.999077201,266.9511056,142.9169271,1,371.0902009,117.7507237,1,420.953929,136.809334,0.999738276,205.5212208,238.6699386,1
18,437.6842265,136.0626609,0.000117715,268.7089276,142.1156852,1,370.8912635,104.7262011,1,437.8580689,130.1202039,0.999997497,204.909584,238.7275543,1
19,397.6274469,150.8819709,0.000553798,265.628376,145.5167909,1,357.2315038,105.5867829,1,419.1300604,134.1304932,0.99996984,206.3686182,238.324425,1
20,385.999799,131.5781771,0.809481561,266.6446795,146.5933366,1,357.328312,97.57492828,1,420.5688277,135.4752512,0.00837619,205.3512537,238.4749622,1
21,384.2003298,129.8016348,1,266.8517623,146.9304271,1,350.5299976,89.15562677,1,409.2102795,132.0742405,0.000489048,205.2528757,237.9144422,1
22,383.6559238,130.3291411,1,267.8855149,147.9971204,1,345.2512717,82.15488052,1,415.7560673,132.1969337,0.999999881,205.469447,237.8639742,1
23,384.4112725,131.1268011,1,268.3962754,149.5827971,1,344.2597775,81.25950909,1,415.2022038,133.2320033,0.999998212,205.4692403,238.2915618,1
24,383.6488435,131.240115,1,268.8614798,150.7419801,1,340.4840422,86.5865643,1,413.7349796,135.706634,0.08823695,205.4597394,238.8912811,1
25,378.6725987,136.3309474,0.999210835,269.2648087,151.1312521,1,338.1970692,90.61680794,1,426.5863137,134.4151297,0.904238045,205.4819957,239.019681,1
26,379.8105008,132.8941659,1,270.5064583,150.4584522,1,335.6838403,87.2268126,1,403.2260008,136.7678533,0.000222394,205.9949864,238.282794,1
27,380.1209698,135.9645863,1,270.838671,148.5615416,1,336.6327922,80.46844101,1,416.0340514,132.9438061,0.999999881,205.1396117,237.9253061,1
28,383.2894471,141.050423,1,268.4273853,153.2383661,1,341.7277234,62.7933569,0.999999523,416.4344726,133.6736219,1,205.6523687,237.7537099,1
29,388.9225689,145.3996325,1,264.6260991,156.6042738,1,335.5019834,63.34225106,1,416.5508246,133.6689553,1,205.2091854,236.9748782,1
30,392.7367063,149.0136158,1,251.7155066,164.4253645,1,336.3811483,97.69172955,1,416.7588611,134.4246345,1,208.3366628,236.8601739,1
31,393.1108789,150.5967164,1,251.4671097,168.389761,1,333.4642997,143.060725,1,415.8561192,133.8008901,1,209.6074238,237.3310204,1
