scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,220.75677067041397,267.8953188210726,2.010588468692731e-05,269.56812834739685,196.0334026478231,1.0,418.0519357919693,192.73316884040833,0.9992005228996277,406.54524326324463,139.12370854616165,0.9557676315307617,206.36334419250488,266.2422785758972,1.0
1,220.90312677621841,267.8516470193863,1.4754395124327857e-05,269.79347920417786,199.05593490600586,0.9999969005584717,419.3121272921562,200.55900478363037,0.9791679382324219,405.4868006706238,144.18331289291382,0.9824005365371704,206.5788176059723,265.91229724884033,1.0
2,432.51605319976807,163.50474300980568,2.7174130082130432e-05,268.84575486183167,200.94815397262573,1.0,419.16055196523666,205.56787621974945,0.9860268831253052,413.383461356163,145.59172177314758,0.9518274664878845,206.35404586791992,266.23500061035156,1.0
3,430.8489019870758,159.65958881378174,1.9347367924638093e-05,268.1737603992224,202.66396951675415,0.9999978542327881,298.5677191019058,265.2276496887207,0.9958991408348083,408.71551179885864,146.0826222896576,0.9809442162513733,206.3528447151184,265.87203550338745,1.0
4,432.1587963104248,163.5286983549595,0.00022821601305622607,267.7236622273922,206.99413990974426,0.9973517656326294,300.3826612830162,264.40500354766846,0.9997790455818176,406.8179335594177,147.05605912208557,0.969913125038147,207.27132177352905,265.64986848831177,0.9999998807907104
5,433.35532903671265,165.50249874591827,0.00015669014828745276,270.6576385498047,211.1322596669197,0.9999916553497314,301.2293486595154,265.31678438186646,0.999919056892395,406.45817518234253,148.03372205793858,0.8227155804634094,207.34062099456787,265.38205742836,0.999994158744812
6,434.2866220474243,165.09375989437103,0.00017815676983445883,154.2856159210205,264.19062519073486,0.9999529123306274,301.5648983716965,264.83472442626953,0.9999911785125732,406.7249653339386,146.6539442539215,0.9419260621070862,207.14460515975952,266.2255599498749,0.9990531802177429
7,436.55349600315094,147.702467918396,7.50190083635971e-05,153.26126980781555,264.16697120666504,0.9999790191650391,300.0165413413197,265.41045689582825,0.9999951124191284,399.21171498298645,150.29802227020264,0.9996888637542725,207.50160884857178,266.1300126314163,0.9992479681968689
8,438.32500290870667,147.82405853271484,0.00017755287990439683,153.58186888694763,264.51841402053833,0.9999842643737793,299.9086083471775,264.7944893836975,0.9999997615814209,392.9009494781494,142.28397464752197,0.9999839067459106,208.06882095336914,266.21744310855865,0.9600231051445007
9,419.1024093031883,166.5241823196411,0.1794893741607666,154.542653799057,264.3790078163147,0.9999374151229858,396.5414340496063,166.06978344917297,0.9999980926513672,438.30702090263367,151.67119812965393,0.9999998807907104,207.8285584449768,265.9638350009918,0.9996497631072998
10,421.941526889801,158.52393913269043,0.002858263673260808,267.62820959091187,152.00401973724365,1.0,387.7722275406122,140.64392852783203,1.0,438.0855567455292,151.2999505996704,1.0,205.51023042201996,265.41715478897095,1.0
11,401.73703837394714,156.6333128809929,0.9999691247940063,264.90317010879517,150.51176929473877,1.0,372.04137102514505,132.96792602539062,1.0,438.00223898887634,151.2271430492401,1.0,205.40803265571594,266.3718466758728,1.0
12,405.6904126405716,145.65319204330444,0.9993909597396851,262.66944122314453,154.69705390930176,1.0,375.4491038322449,127.51856803894043,1.0,437.03047943115234,149.89564669132233,1.0,204.8521728515625,265.9438772201538,1.0
13,392.42433500289917,165.63061475753784,0.9907998442649841,263.4794542789459,155.95760583877563,1.0,374.5958240032196,124.16750431060791,1.0,438.47077679634094,149.9689314365387,1.0,205.9805212020874,264.9810748100281,1.0
14,394.2954616546631,168.15511083602905,0.9653275012969971,264.4166579246521,155.17112588882446,1.0,371.4994238615036,116.73545932769775,1.0,438.13807916641235,150.04075264930725,1.0,205.71250534057617,264.5289349555969,1.0
15,391.63781332969666,167.2870078086853,0.9923524260520935,264.95667028427124,155.22902250289917,1.0,363.7211494445801,104.69563293457031,1.0,437.46011328697205,149.86393821239471,1.0,205.39414036273956,264.88513469696045,1.0
16,390.3637728691101,168.65962171554565,0.9921882152557373,265.2158818244934,156.5542869567871,1.0,351.9654939174652,97.9294171333313,1.0,438.65336513519287,151.29998087882996,1.0,206.38543343544006,264.8404755592346,1.0
17,382.08506417274475,94.48563957214355,0.0007985967677086592,264.0194787979126,158.8669376373291,1.0,348.67226123809814,85.87010776996613,1.0,438.7106876373291,151.60507249832153,1.0,205.65365087985992,265.1459183692932,1.0
18,374.2906827926636,143.81683564186096,0.9999984502792358,264.43463945388794,158.13681316375732,1.0,352.69952917099,88.78181505203247,1.0,438.6512351036072,150.39457488059998,1.0,205.64923679828644,265.20745277404785,1.0
19,379.52488347887993,142.77229690551758,1.0,264.70118951797485,160.3555760383606,1.0,359.7716689109802,93.33781242370605,1.0,439.99484395980835,150.34618616104126,1.0,205.05603003501892,265.2327060699463,1.0
20,381.13229191303253,151.16576671600342,0.00613977387547493,264.29270124435425,165.00805473327637,1.0,363.1090898513794,102.19483518600464,1.0,438.1676640510559,149.8714121580124,1.0,206.1489474773407,265.40478515625,1.0
