scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,2.682196856,2.956264496,0.003510656,269.9064595,169.2624326,1,365.6054732,169.3045816,1,173.4309907,158.669312,0.999964237,168.7863092,273.7629981,1
1,2.653694391,2.941079617,0.003623803,270.4627635,170.0275803,1,365.1928329,173.7208652,1,173.2571406,158.7528563,0.999997258,168.8567567,274.6090097,1
2,2.636514544,2.927725554,0.003745801,270.0279005,171.9137073,1,365.3656824,178.3028297,1,172.8328241,159.7244158,0.999998331,168.9001174,274.0509963,1
3,2.621311545,2.900768042,0.003826717,268.9032627,173.13801,1,365.8458463,177.4225335,1,171.7060402,159.3652921,0.999997854,168.7220602,274.2727528,1
4,2.611512423,2.879150867,0.003796407,268.7979612,173.4953856,1,364.8850832,177.9307117,1,171.8872022,159.5134397,0.999991655,168.7555614,274.59091,1
5,2.611404538,2.861638188,0.003827638,268.6670551,175.6557524,1,365.3538513,183.8989925,1,171.2926935,159.6941538,0.999988437,167.6233425,274.5472884,1
6,2.657756805,2.902280927,0.00368579,268.8310276,178.3607936,1,365.1499553,189.8032627,1,171.565887,159.6361856,0.999994278,168.171134,274.4946504,1
7,2.72605598,2.912394166,0.00350129,268.2278302,178.5448046,1,364.8888481,194.8831005,1,171.7572628,159.0442624,0.99999404,169.3273425,275.0896611,1
8,2.712521195,2.9296422,0.003806956,267.9028995,180.2115393,1,366.0760498,200.4433641,1,172.9908026,158.476963,0.999961615,169.3965259,274.745059,1
9,2.725848198,2.936596274,0.003743295,268.5739326,182.6230042,1,365.4885942,204.777915,1,172.5646239,159.1648393,0.999962807,168.6625905,274.7732472,1
10,2.719018817,2.939097762,0.003569985,267.130971,183.9504073,1,364.4227287,211.1325641,1,173.1809493,159.2580414,0.999887586,169.2292418,274.2236528,1
11,2.766386271,2.878457546,0.00344463,267.420536,186.665257,1,364.6154089,215.0567868,1,172.9347031,159.1550293,0.997960806,169.2115002,274.0441618,1
12,2.692014813,2.995496631,0.003312216,267.0049543,189.3150349,1,364.9817892,220.9679775,1,172.4245687,159.3485541,0.99999404,168.4571581,273.8453398,1
13,2.658969522,2.990038037,0.003577443,267.0110483,191.8087204,1,364.3386264,228.9002752,1,172.0209036,159.3656678,0.999994755,168.6496964,274.0266414,1
14,2.632223606,2.963314176,0.003611936,266.9771333,194.971179,1,364.9009657,232.646277,1,172.1185364,159.5023608,0.997476399,168.4198117,274.0710568,1
15,2.691436052,2.955365181,0.003693637,267.0038111,196.9837942,1,364.9601517,229.0926199,1,171.7570096,158.2135644,0.998778522,169.1821642,274.3368297,1
16,399.9180024,174.2820919,0.045901187,266.6169095,199.9133987,1,366.4425671,217.9466066,1,170.9848675,158.4581356,0.999814212,169.4367218,274.9497352,1
17,400.5600207,172.2876932,0.007180437,268.3000562,197.4971523,1,363.9787527,196.5039701,1,171.3752856,158.1908851,0.999248922,170.0519924,275.2193828,1
18,384.4376283,189.6572624,1,271.1028328,193.7181025,1,355.1012738,164.897336,1,405.9594113,163.1203716,0.999998569,169.0863781,275.2645841,1
19,380.6570258,186.2780347,1,265.8352399,144.8708487,1,342.5344818,145.4156041,1,401.5064149,162.8069572,1,169.3757586,274.2114053,1
20,378.4356319,188.0384235,1,258.2035432,156.7556324,1,326.8337123,144.1854682,1,397.0408938,162.2975798,1,170.2770829,274.4870663,1
21,378.3194243,187.9889226,1,256.1456251,157.5484877,1,320.8181705,134.29424,1,395.9232946,162.8364836,1,169.8374143,274.4285889,1
22,378.4045305,180.5196648,1,256.5953012,154.7202315,1,307.8766314,111.3628063,1,395.5241444,164.6265323,0.999999523,168.9942579,273.9655766,1
23,350.3248,124.0593366,1,256.7806654,152.5343065,1,303.0099082,90.62182999,1,389.5248414,162.3403754,1,170.0355911,273.6368384,1
24,350.0397789,150.0228331,0.999947309,259.2000458,147.1298523,1,307.3723082,93.15547466,1,391.6171577,162.5900955,1,169.4611382,273.4259624,1
25,354.4459431,150.1374285,0.999928713,265.847259,146.8238702,1,309.9568502,92.70486069,1,392.4781075,162.0456815,1,168.8538952,273.8622928,1
26,357.1627882,148.9463196,0.9998492,262.6907225,137.6039824,1,309.5666499,86.97113037,1,390.4742606,160.809855,1,166.2453458,272.6791825,1
27,356.9966778,148.7513676,0.999997973,264.8786416,129.4704456,1,313.775763,83.45833206,1,389.1290267,161.4125996,1,164.7472486,273.7905989,1
28,354.8221008,154.7364941,1,271.6656668,149.537674,1,320.9896259,87.29295444,1,391.7169433,162.393436,1,171.1492271,275.27389,1
29,354.9316529,155.8152338,1,275.571433,149.0921993,1,324.7722378,88.45473671,1,392.049273,162.3646355,1,169.0000644,274.8962302,1
30,354.4386003,155.1025162,1,268.2611513,151.2066016,1,319.6303172,89.24874735,1,391.7739491,162.6876016,1,170.0685787,274.7539401,1
31,356.1818396,154.8220404,1,254.5353804,156.1514292,1,311.0036881,87.6120069,1,390.9079735,163.0715413,1,212.1687654,278.3174224,0.997604728
