scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,402.2242851,167.0046935,1,284.9028454,170.3230252,1,348.6727914,114.6079555,1,188.0729627,166.707058,0.608222723,186.3183284,282.6686511,1
1,403.8603798,168.6044822,1,284.35958,171.1442642,1,348.2506109,116.4329806,1,187.8567145,166.7697747,0.101703927,186.3934698,282.9073019,1
2,403.7137465,166.1910598,1,284.3701649,172.3322296,1,346.9932133,116.4723055,0.999999881,187.0367384,166.73242,0.008532504,185.8590708,282.9608049,1
3,403.1924138,168.1014876,1,284.816483,173.7693501,1,345.0659769,115.9710137,1,188.1497872,166.3901815,0.162617654,185.58675,283.0498652,1
4,402.9193077,167.6143348,1,287.2584817,174.1480265,1,352.103888,108.5291592,1,184.6050587,165.9902166,0.018522207,186.5231166,283.1871271,1
5,397.2781867,142.0746896,0.612137973,288.4596953,172.8752804,1,354.0183592,90.88471317,1,184.6957517,166.9086227,0.012683776,186.1379819,282.4447017,1
6,406.3456612,161.7633264,0.999999642,288.5430045,174.1298294,1,359.2414503,91.6614027,1,641.4537024,170.6831412,0.003885314,186.0319257,283.2706571,1
7,395.4760001,160.9035311,0.99946171,287.3485219,175.1429834,1,358.5370762,78.78546619,0.999965072,188.6669341,167.3233736,0.079002202,186.6097984,282.8488197,1
8,394.0153756,159.6489778,0.999999881,287.2553732,175.7383132,1,359.2479298,91.83047868,0.999988675,189.6930307,166.610821,0.098217376,185.8712144,282.5759478,1
9,394.581645,159.5515275,1,287.4419017,176.5242171,1,357.3540641,90.65512419,0.999997973,191.5814464,166.8146119,0.849449039,185.6310201,282.2362828,1
10,393.1418743,160.3963284,1,287.1148751,179.074451,1,360.8787217,94.39942837,0.999995708,190.7294595,166.1379247,0.91891712,185.1054044,282.4993,1
11,399.3947754,156.9118435,0.315260887,286.5056207,184.441803,1,365.6088984,126.0937006,0.98828119,191.1944716,166.086138,0.00123204,185.4387865,282.9073677,1
12,403.8140097,159.8934572,0.962121129,286.1803231,186.916327,1,370.8707193,136.7194858,1,417.9937305,165.7600822,0.052504465,187.2316751,283.644094,1
13,393.0174775,171.1396843,0.002488482,287.2078998,189.4694252,1,369.0557518,146.5668812,1,188.8325516,165.574604,0.001013987,186.6048412,283.0163035,1
14,391.476387,169.5731568,0.001826317,288.5865607,191.494952,1,371.1273198,158.1939201,1,188.8173329,165.9172475,0.702712834,185.5960522,282.4435086,1
15,390.6068447,184.4663727,0.00523446,288.9579988,191.9976475,1,365.7974191,160.2169943,1,189.5686058,165.6410644,0.996252894,185.4731007,282.4730244,1
16,392.2883425,169.9865012,0.00657327,288.0627599,190.6453485,1,356.8499526,151.3627281,1,189.90237,165.0908787,0.993154168,185.979126,282.4925771,1
17,392.6258092,168.0474904,0.000338647,288.1758504,191.3326912,1,362.2761793,139.9476914,1,188.5946006,166.0839429,0.999665856,186.4362779,283.1068244,1
18,396.558896,167.2912402,0.000676693,289.1670871,191.8121812,1,366.8896127,128.0376477,0.999994278,189.8158607,166.4090886,0.99979502,186.9379597,282.8457685,1
19,397.5609667,156.1703371,0.000337693,290.1394696,192.7876005,1,372.1837148,115.2557123,0.982911944,188.6039719,166.257695,0.994150221,186.0304441,283.5352397,1
20,410.6058106,154.4043396,0.000143203,290.7111549,193.3987451,1,378.9212756,98.56423819,0.72466433,189.9437419,166.1328278,0.999966383,185.5677114,283.079926,1
21,399.2048986,162.5677497,0.626012921,290.3671193,194.6687226,1,371.7778725,95.1075449,0.999829054,189.9836779,165.2187275,0.999998927,185.5299368,282.6439219,1
22,399.399035,163.6456234,0.211321712,291.3561335,194.7118106,1,370.2574165,95.83517122,0.628307045,189.3575503,165.6416407,0.999999762,185.0361948,283.3021774,1
23,394.640362,168.4942966,0.018463193,299.2775818,179.0096836,1,371.1377939,81.40468001,0.068425648,190.4301624,165.9390739,0.999998331,185.0693297,283.0105777,1
24,401.8955536,167.7945075,0.12019062,288.6118784,160.9390817,1,372.5327383,82.13976121,0.998290479,190.1469359,165.8216056,0.999953866,185.4139323,283.9418144,1
25,474.4511383,303.3326268,0.953849971,286.2078242,161.5164537,1,365.8330094,85.61504459,0.996448874,191.9106305,165.8645724,0.995196521,184.6234455,282.9293003,1
26,413.3486927,166.7317386,0.044596337,286.5179791,161.7594786,1,367.2031024,81.92799115,0.999983072,188.9258575,165.7128921,0.999616861,185.0569639,282.5845575,1
27,404.0103972,139.3116317,0.002482436,287.3427737,162.1444654,1,368.7945957,76.41845581,0.999596655,188.5253932,166.0810535,0.964975595,184.8477302,283.0516825,1
28,409.1494517,155.2482066,0.005949214,288.7463202,162.5621119,1,368.7201486,82.45897567,0.024394417,189.6899613,165.1333264,0.999962449,185.3066936,282.5614052,1
29,415.2307189,139.4676197,0.089919291,287.2144356,163.8342404,1,370.3867183,89.50856066,0.26305753,188.9651058,165.7612743,0.99992156,185.0125451,282.8152261,1
