scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,347.42047387361526,179.53060626983643,1.0,234.46029043197632,185.19826459884644,1.0,297.39829874038696,165.66991901397705,1.0,425.3597249984741,173.10994172096252,1.0,200.202543258667,287.3289005756378,1.0
1,346.85585021972656,183.07627415657043,1.0,234.21649837493896,187.7651219367981,1.0,297.16796875,171.8005814552307,1.0,424.9947443008423,172.78158169984818,1.0,200.64484310150146,287.5449893474579,1.0
2,346.28624153137207,185.13651514053345,1.0,233.55908060073853,190.40990352630615,1.0,297.8601975440979,177.78427743911743,1.0,425.0515413284302,172.40189564228058,1.0,200.69055938720703,287.9877667427063,1.0
3,345.01462864875793,187.40825355052948,1.0,233.84087467193604,191.19495511054993,1.0,300.47352409362793,184.08520984649658,1.0,425.29243516921997,172.42010647058487,1.0,200.73550176620483,287.98357796669006,1.0
4,349.53688299655914,192.74138689041138,0.999812662601471,233.5537567138672,194.67178106307983,1.0,304.8178811073303,195.5231499671936,1.0,425.3687334060669,172.24121002852917,1.0,200.47922611236572,287.74380588531494,1.0
5,351.6810986995697,192.85323524475098,0.9895021319389343,237.93782436847687,197.38769626617432,1.0,310.32269382476807,200.82586336135864,1.0,425.2021789550781,172.47157430648804,1.0,200.4042043685913,287.8866822719574,1.0
6,349.2056702375412,193.6952817440033,0.9983408451080322,238.37235617637634,200.15417861938477,1.0,309.8362089395523,201.89521598815918,1.0,424.3982949256897,172.57103234529495,1.0,199.75073409080505,288.20142459869385,1.0
7,345.74242067337036,193.3352026939392,1.0,236.12773376703262,204.48894596099854,1.0,300.92895072698593,203.05516386032104,1.0,424.8109884262085,173.30764853954315,1.0,200.18381452560425,287.91987657546997,1.0
8,343.2208483219147,195.21631503105164,1.0,237.1768980026245,208.63627767562866,1.0,295.9055669307709,204.55046463012695,1.0,426.02460527420044,173.81298780441284,1.0,200.07475471496582,288.850266456604,1.0
9,340.9553527235985,196.5355088710785,0.9999995231628418,237.25506055355072,209.4229474067688,1.0,291.7035167515278,203.03368663787842,1.0,425.9568552970886,173.35027194023132,1.0,199.03360414505005,288.92073678970337,1.0
10,346.9962537288666,183.87325191497803,0.9999980926513672,238.4242606163025,204.1203670501709,1.0,289.53712916374207,174.0069236755371,1.0,424.87807512283325,173.26489996910095,1.0,199.11958193778992,287.98497009277344,1.0
11,343.5679659843445,182.83430004119873,1.0,240.04101467132568,201.3607349395752,1.0,286.4355363845825,154.3809552192688,1.0,424.0976138114929,172.61737442016602,1.0,198.93805766105652,287.3885591030121,1.0
12,341.316871881485,181.49787998199463,1.0,238.26737022399902,176.14525365829468,1.0,287.14404129981995,129.46097326278687,1.0,422.45210313796997,171.20745706558228,1.0,199.8698091506958,287.59542179107666,1.0
13,341.7685749530792,182.74505162239075,1.0,257.2457127571106,158.68915843963623,1.0,291.8356141000986,125.82105255126953,1.0,422.4352037906647,172.3353977203369,1.0,200.02225923538208,288.3259892463684,1.0
14,343.5522906780243,183.9611096382141,1.0,256.4545702934265,164.74488258361816,1.0,292.53401839733124,125.45435905456543,1.0,421.7823613882065,172.30965042114258,1.0,200.40748119354248,288.53738927841187,1.0
15,343.04292464256287,183.6668848991394,1.0,254.1203899383545,165.88602685928345,1.0,292.610787153244,124.0974006652832,1.0,422.7176206111908,173.25946879386902,1.0,200.91724729537964,288.6361918449402,1.0
16,344.13165378570557,183.40563917160034,1.0,255.96444392204285,166.68476104736328,1.0,296.36157608032227,122.08170223236084,1.0,422.79858446121216,172.45656204223633,1.0,200.75622940063477,288.6732201576233,1.0
17,346.72205209732056,166.93341040611267,1.0,254.52828121185303,168.05148029327393,1.0,293.7607707977295,115.96635389328003,1.0,423.76638412475586,172.7806487083435,1.0,199.69980144500732,288.10166597366333,1.0
18,363.60532054305077,170.13821983337402,1.0,254.71958136558533,170.90990114212036,1.0,303.8283112049103,126.62267684936523,1.0,423.62151551246643,173.24875557422638,1.0,199.71089005470276,288.66520738601685,1.0
19,364.0038632855285,172.80731868743896,1.0,256.40405893325806,169.59126806259155,1.0,305.04422521591187,117.94802284240723,1.0,424.1644787788391,172.2031764984131,1.0,199.26864624023438,288.3640441894531,1.0
20,365.0058994293213,173.02807712554932,1.0,257.8055491447449,169.26742935180664,1.0,311.25683307647705,112.37464570999146,1.0,423.95711302757263,172.2389227449894,1.0,202.42191362380981,288.97257137298584,1.0
21,365.5452800989151,173.7157346010208,1.0,262.905234336853,168.97304582595825,1.0,318.3918044567108,99.10433119535446,1.0,423.7846577167511,172.71722429990768,1.0,199.2745909690857,287.97793078422546,1.0
22,366.3116114139557,175.21002411842346,1.0,260.5339053273201,170.89626789093018,1.0,318.8875253200531,96.73264193534851,1.0,423.33068656921387,172.9610053896904,1.0,202.02599048614502,289.6784143447876,1.0
23,365.7836494445801,177.0072464942932,1.0,256.59714937210083,172.23617362976074,1.0,322.28994727134705,103.00110602378845,0.9912667870521545,423.71467423439026,172.58496344089508,1.0,199.87854266166687,288.6697859764099,1.0
