scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,294.9708309173584,179.13572943210602,1.0,193.90635061264038,184.17428636550903,1.0,234.75966036319733,109.19251823425293,1.0,377.23044776916504,197.51746308803558,1.0,148.50525569915771,310.6045808792114,1.0
1,302.9910891056061,184.25591611862183,0.9999959468841553,193.52611112594604,182.2656443119049,1.0,252.92617416381836,103.69115400314331,1.0,376.531042098999,197.53067910671234,1.0,148.07407569885254,311.827513217926,1.0
2,302.10323214530945,183.84481644630432,0.9999997615814209,197.27683353424072,180.24038076400757,1.0,246.59143137931824,94.96379899978638,1.0,376.2909049987793,197.0591698884964,1.0,148.25473594665527,311.8623983860016,1.0
3,302.6401083469391,183.04898071289062,1.0,194.76954746246338,180.13094414770603,1.0,238.25756168365479,82.96874141693115,1.0,376.3188409805298,197.49541521072388,1.0,148.5864953994751,311.93786549568176,1.0
4,302.0938470363617,184.1212239265442,0.9922532439231873,192.9546160697937,182.50050330162048,1.0,230.35420680046082,64.69816493988037,1.0,376.13865184783936,197.29449784755707,1.0,148.9408893585205,312.39989948272705,1.0
5,302.49165892601013,184.57397031784058,0.9493823051452637,192.45723247528076,184.00137042999268,1.0,230.3332633972168,69.5209389925003,0.9999998807907104,376.430278301239,197.26278400421143,1.0,149.011305809021,312.0776252746582,1.0
6,302.5066165924072,184.46200513839722,0.9763695597648621,191.92047834396362,184.80972909927368,1.0,228.72326678037643,68.40597304701805,1.0,376.6902208328247,197.37874555587769,1.0,148.4756317138672,311.95314741134644,1.0
7,303.0380308628082,185.13370418548584,0.8288159370422363,191.41376161575317,184.86682558059692,1.0,228.4847964644432,70.76796770095825,1.0,376.8979687690735,197.3152403831482,1.0,148.60782623291016,311.7955882549286,1.0
8,302.1085720062256,187.17283362150192,0.047633472830057144,192.08970880508423,184.4820113182068,1.0,225.7793414592743,76.99987411499023,1.0,377.4117069244385,197.43739211559296,1.0,148.2843713760376,311.1625163555145,1.0
9,300.296739757061,187.3234715461731,0.06321610510349274,191.4303822517395,184.4677152633667,1.0,225.13531732559204,84.11763381958008,1.0,377.6660771369934,197.33871281147003,1.0,148.3095703125,311.22577381134033,1.0
10,302.3103790283203,188.1492283642292,0.029136603698134422,190.28672885894775,185.47247219085693,1.0,224.3580994606018,89.21989870071411,1.0,377.05043363571167,197.27238535881042,1.0,148.7479305267334,311.06525707244873,1.0
11,257.5022144317627,96.81554126739502,0.00036768015706911683,189.3842067718506,185.64755201339722,1.0,222.56756329536438,92.00431823730469,1.0,376.6238913536072,197.0583473443985,1.0,148.97598457336426,311.20489954948425,1.0
12,303.6433176994324,189.29496240615845,0.004555337596684694,189.24748516082764,185.63601398468018,1.0,221.1151133775711,91.57888269424438,1.0,376.86000204086304,197.2443689107895,1.0,149.09574508666992,310.5429265499115,1.0
13,304.0219831466675,189.96597695350647,0.05994939059019089,190.93137645721436,182.8473334312439,1.0,221.6908359527588,88.08448123931885,1.0,377.1235103607178,197.39392793178558,1.0,148.4417049586773,310.9981060028076,1.0
14,305.006854057312,190.22478604316711,0.4216783344745636,190.22011137008667,172.49947547912598,1.0,221.06208646297455,87.96412801742554,1.0,377.34726905822754,197.31936299800873,1.0,149.1340742111206,310.60701751708984,1.0
15,306.79961490631104,190.27048206329346,0.7321226000785828,192.23688077926636,184.61383438110352,1.0,208.25591039657593,91.26178693771362,1.0,377.74448442459106,197.44804286956787,1.0,148.876446723938,311.05687499046326,1.0
16,306.65141797065735,190.13790082931519,0.12979483604431152,192.86938905715942,181.6447262763977,1.0,195.86485096812248,91.14523935317993,1.0,377.80122566223145,197.44334137439728,1.0,148.62757778167725,311.23234486579895,1.0
17,307.2308477163315,191.27596640586853,0.0587640255689621,193.10512447357178,180.9957698583603,1.0,194.7944462299347,83.84275601804256,0.9864175319671631,377.9579963684082,197.5154926776886,1.0,148.65065956115723,310.8239588737488,1.0
18,308.085136115551,190.3658013343811,0.04369381070137024,192.07494640350342,182.16715717315674,1.0,195.7715750336647,84.29353678226471,0.9967362284660339,378.0826516151428,197.20343232154846,1.0,148.0414810180664,311.2063488960266,1.0
19,309.57536566257477,192.46968698501587,0.01663103699684143,190.9747977256775,182.7788426876068,1.0,194.9993875026703,83.57374060153961,0.9984973669052124,378.2691354751587,197.28981614112854,1.0,148.01801740005612,310.9406566619873,1.0
20,310.2931909561157,192.5854058265686,0.42475083470344543,190.78876066207886,182.46956634521484,1.0,195.510448127985,86.84061551094055,1.0,378.14742374420166,197.15789413452148,1.0,148.41558456420898,310.6697974205017,1.0
21,310.6462206840515,193.13676261901855,0.9963078498840332,190.29688477516174,183.39602613449097,1.0,196.28285717964172,89.59762620925903,1.0,378.4336061477661,197.14201605319977,1.0,148.4088455438614,310.6752071380615,1.0
22,311.1686429977417,192.3798806667328,0.9991944432258606,190.42407202720642,183.33402585983276,1.0,195.68487733602524,88.88808250427246,1.0,378.276132106781,197.03995764255524,1.0,148.38952922821045,310.67141699790955,1.0
