scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,260.1260765492916,217.84818315505981,1.0,144.5832965373993,209.29322838783264,0.01789785549044609,170.6432638168335,187.6913080215454,1.0,337.61578249931335,208.32376146316528,1.0,135.6365261077881,312.72040033340454,1.0
1,260.5125271677971,219.87184524536133,1.0,3.3315983414649963,2.8019999265670776,0.004322655964642763,172.18647289276123,191.89508891105652,1.0,335.7556848526001,207.39669132232666,0.9999997615814209,130.9425687789917,313.291033744812,1.0
2,260.46407663822174,220.64804649353027,1.0,3.3478357195854187,2.838109612464905,0.004578853957355022,166.5904257297516,193.27779865264893,1.0,338.6085915565491,206.44632577896118,1.0,122.01786851882935,312.96302223205566,1.0
3,260.55429780483246,220.68660354614258,1.0,3.301212251186371,2.8419541120529175,0.003976822830736637,164.51742839813232,193.2913465499878,1.0,339.4129477739334,205.28859961032867,1.0,127.64608144760132,311.982204914093,1.0
4,260.6578041911125,222.4404993057251,1.0,3.3058459758758545,2.892217993736267,0.004173861816525459,166.35630321502686,195.2041416168213,1.0,340.45630103349686,209.17656087875366,1.0,129.54909324645996,311.6286346912384,1.0
5,260.66248601675034,225.24215030670166,1.0,3.3070093393325806,2.8566641807556152,0.004157653544098139,166.54258847236633,199.58778595924377,1.0,340.11357748508453,209.81288146972656,1.0,133.80462646484375,312.21813201904297,1.0
6,261.7030556201935,228.0631866455078,1.0,3.3429062366485596,2.942807674407959,0.004338399041444063,169.52317070960999,205.71832370758057,1.0,339.6478825211525,210.49383080005646,1.0,152.23332357406616,313.10487031936646,1.0
7,261.8382360935211,229.42359352111816,1.0,3.31474232673645,2.781603455543518,0.004574665334075689,167.48495483398438,207.60930061340332,1.0,341.29908204078674,211.1503484249115,1.0,146.4281120300293,313.08473348617554,1.0
8,261.1243871450424,229.69684898853302,1.0,3.2825711369514465,2.771760582923889,0.004425444174557924,161.9889464378357,205.42196083068848,1.0,342.505752325058,210.28248858451843,1.0,131.2844476699829,312.7138252258301,1.0
9,261.2944108247757,230.91856575012207,1.0,3.2760812640190125,2.867904782295227,0.0044523258693516254,166.0152885913849,206.6321988105774,1.0,341.370343208313,209.13120126724243,1.0,144.34277725219727,311.6656742095947,1.0
10,261.73475110530853,232.7121376991272,1.0,3.285624146461487,2.8125067949295044,0.0037599497009068727,168.0201644897461,210.21942710876465,1.0,341.45508551597595,209.17538452148438,1.0,152.75324010849,311.7858157157898,1.0
11,261.51305639743805,233.08986854553223,1.0,3.256982743740082,2.7924611568450928,0.0039665065705776215,168.0147123336792,206.46014833450317,1.0,340.76716673374176,208.4496808052063,1.0,145.66590642929077,312.5313763618469,1.0
12,259.3698992729187,232.88328313827515,1.0,3.194388270378113,2.9556857347488403,0.003934861626476049,169.49846196174622,197.22593784332275,1.0,340.55994832515717,208.0338578224182,1.0,129.50131464004517,312.6228470802307,1.0
13,259.188015460968,234.24536085128784,1.0,3.3040732741355896,3.1642199754714966,0.00445707980543375,169.2722659111023,195.77530097961426,1.0,340.4054345190525,207.62477898597717,1.0,130.73673820495605,312.9134564399719,1.0
14,257.37624740600586,235.702232837677,1.0,3.299797534942627,2.891749382019043,0.004018699284642935,172.75596398115158,197.402250289917,1.0,340.3234169781208,207.28344082832336,1.0,142.37757921218872,312.2863335609436,1.0
15,256.7734913825989,235.0845980644226,1.0,3.3388248085975647,2.9795010089874268,0.003916054964065552,177.632643699646,192.62588500976562,1.0,340.11510648578405,206.8046314716339,1.0,152.46670055389404,311.67633628845215,1.0
16,256.3036484718323,232.60542917251587,1.0,3.289443850517273,2.9924864768981934,0.0029354749713093042,180.36775070428848,188.15201568603516,1.0,340.3082268834114,206.42368626594543,1.0,168.5464687347412,312.02621364593506,1.0
17,260.99278151988983,192.50457620620728,1.0,3.266700506210327,2.94787335395813,0.002927616937085986,187.08306312561035,189.09840774536133,1.0,340.8409495353699,206.11111116409302,1.0,134.5369873046875,312.373441696167,1.0
18,271.8607153892517,202.6068835258484,1.0,161.41528367996216,205.82011222839355,1.0,201.77146244049072,197.02351665496826,1.0,340.2092030644417,206.5589075088501,1.0,137.80689144134521,311.8510408401489,1.0
19,277.35711228847504,205.18102264404297,1.0,165.62545788288116,203.66614961624146,1.0,204.34106826782227,195.50870323181152,1.0,340.9792073369026,206.58555793762207,1.0,137.91684007644653,312.09597396850586,1.0
20,279.90166878700256,205.14585876464844,1.0,168.81746673583984,199.60015630722046,1.0,203.37713146209717,184.05457878112793,1.0,342.05806732177734,208.36460828781128,1.0,137.09122276306152,311.30217719078064,1.0
21,280.6600728034973,205.30307257175446,1.0,166.38615202903748,194.3585888147354,1.0,199.85619592666626,169.39802265167236,1.0,340.7598837018013,207.49151849746704,1.0,160.28846549987793,311.8403174877167,1.0
22,281.99676752090454,204.93909180164337,1.0,3.432265877723694,2.908716917037964,0.005110576748847961,201.01846647262573,161.30652856826782,1.0,340.83309811353683,208.00308179855347,1.0,140.4044952392578,311.72064328193665,1.0
