scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,432.2552125453949,213.008931517601,0.9854647517204285,280.8470582962036,209.95887112617493,1.0,429.32825005054474,201.92287850379944,0.6636859774589539,238.49387168884277,196.0807366296649,0.9997150301933289,235.9829670470208,308.25094413757324,1.0
1,431.4547119140625,212.2746893465519,0.9622381925582886,282.35569524765015,210.4128921031952,1.0,429.22804951667786,201.9480540752411,0.3259414732456207,238.7061252593994,196.2085566818714,0.9996311664581299,235.54717409610748,308.4298038482666,1.0
2,429.71971905231476,219.14673620462418,0.890728235244751,282.06497049331665,213.55213057994843,1.0,429.69558560848236,206.4407742023468,0.9536310434341431,241.67591619491577,197.67781722545624,0.8443101644515991,235.6003074645996,311.0380902290344,1.0
3,432.0595848560333,233.73208498954773,0.9991961121559143,281.8805012702942,214.79850506782532,1.0,431.47329664230347,213.62721586227417,0.9999994039535522,449.91121768951416,212.94702130556107,0.5932295322418213,235.64929151535034,311.0682647228241,1.0
4,433.2261412143707,242.45342338085175,0.9079073071479797,282.33466482162476,216.62957096099854,1.0,430.1235134601593,222.52281975746155,0.9999985694885254,443.6488452255726,221.5627191066742,0.04888458549976349,235.74642059206963,310.3157072067261,1.0
5,436.2532820403576,244.8190112709999,0.9560396075248718,281.5846915245056,217.19738721847534,1.0,434.3596405982971,226.97787821292877,0.9999498128890991,3.5698854625225067,1.7169289588928223,0.01132984645664692,236.11199935525656,309.76793575286865,1.0
6,434.2762141227722,247.6110234260559,0.9858242273330688,281.9962348937988,217.61752915382385,1.0,430.9752643108368,228.95071417093277,0.9999470710754395,240.6172800064087,194.80430603027344,0.2632146179676056,236.95600873231888,309.4239683151245,1.0
7,430.01029896736145,263.86038160324097,1.0,282.29003858566284,218.21852219104767,1.0,420.2820858359337,241.41879320144653,0.9123817086219788,3.724526971578598,1.7482097148895264,0.010058638639748096,236.84908837080002,309.6495552062988,1.0
8,424.59855127334595,283.0415089726448,0.9998447895050049,283.95444850996137,220.16969901323318,1.0,414.46159291267395,253.63794112205505,0.9997990727424622,240.08288502693176,196.6722108721733,0.9052129983901978,236.94336795806885,311.21636986732483,1.0
9,418.1085135936737,288.82113218307495,0.9998961687088013,283.878532782197,224.0473713874817,0.9999998807907104,414.2189528942108,259.34828346967697,0.999046266078949,239.75472784042358,197.87850415706635,0.9998669624328613,236.53225326538086,311.18137097358704,1.0
10,417.17320346832275,292.8842866420746,0.9999924898147583,282.7733064889908,225.57748556137085,1.0,414.1080162525177,261.21419155597687,0.9999469518661499,240.14548254013062,196.72056901454926,0.9999253749847412,236.80633211135864,309.84006786346436,1.0
11,407.85592699050903,295.3982458114624,0.9999840259552002,283.67887583374977,227.1448125243187,1.0,413.18190145492554,269.61829459667206,0.7494540810585022,240.2168688774109,196.20877280831337,0.9995593428611755,236.4089874625206,309.96968936920166,1.0
12,407.3318076133728,302.4344117641449,0.9999915361404419,284.8845279812813,228.14650678634644,1.0,405.9863280057907,274.7247978448868,0.9938530921936035,239.96017217636108,196.12624615430832,0.9932413101196289,235.45962572097778,309.9047374725342,1.0
13,404.996644616127,302.9210319519043,0.9999805688858032,284.65397840738297,233.01899671554565,0.9999998807907104,408.46793127059937,278.72775506973267,0.9979648590087891,470.8045845031738,197.46252989768982,0.9988619089126587,235.98264360427856,310.5634665489197,1.0
14,410.4462924003601,302.13799715042114,0.98833829164505,284.0992617383599,234.04646730422974,1.0,413.40767097473145,277.6746220588684,0.9303279519081116,238.5306534767151,197.1694439649582,0.9993364214897156,236.75845623016357,311.36207580566406,1.0
15,409.6573405265808,298.0791211128235,0.9999973773956299,283.4962935447693,235.4819049835205,1.0,410.9419538974762,276.2916062474251,0.2405470758676529,467.3072589635849,196.5878502726555,0.9414188861846924,236.77906036376953,310.6195969581604,1.0
16,452.55611753463745,202.03936207294464,0.9354566335678101,282.29132759571075,236.7367458343506,1.0,411.067405462265,263.1163249015808,1.0,465.4676163196564,195.50404366850853,0.9999996423721313,235.77859964966774,310.27588081359863,1.0
17,449.53808188438416,202.67898869514465,0.12406980991363525,282.3131926059723,237.58083820343018,1.0,407.11824321746826,241.99009537696838,1.0,462.9077980518341,194.7829726934433,0.9999918937683105,235.20708721876144,309.75684452056885,1.0
18,438.607054233551,210.92129826545715,0.9734709858894348,285.3826891183853,234.8037486076355,1.0,404.43498477339745,204.0636911392212,1.0,458.27308773994446,196.04109717532992,1.0,235.13451117277145,308.55107593536377,1.0
19,433.58670020103455,205.86942565441132,1.0,306.5507267713547,171.0028257369995,1.0,388.8191086053848,164.76591300964355,1.0,456.9237585067749,195.1352801322937,1.0,236.5243479013443,308.61065196990967,1.0
20,428.8392333984375,208.6012921333313,1.0,288.7965159416199,188.00181674957275,1.0,362.7458465099335,165.0462827682495,1.0,455.7318398952484,195.72170513868332,1.0,235.9176343679428,309.20771980285645,1.0
