scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,354.3161664,166.8481145,1,250.601804,161.360805,0.002155502,292.5486982,83.68735787,0.999999523,404.2744096,170.6140261,1,175.3258216,285.3288784,1
1,346.6161256,165.8675722,1,348.8776898,165.2789581,0.00101106,249.3897104,101.0732503,0.999777019,401.9464025,169.9473872,1,174.3423941,285.757268,1
2,347.4112172,167.9816213,1,227.3845377,158.7368827,0.122830935,240.8430657,84.02108704,0.999998808,400.3953152,170.777887,1,174.9251132,285.7974091,1
3,348.5150118,172.2267704,1,228.0119792,161.7464108,0.090716779,243.6538376,98.4789772,1,402.1425192,171.1132913,1,175.2334907,285.1117458,1
4,347.5956545,172.5493832,1,236.2283728,159.0502238,0.999998569,249.0060568,103.1895592,1,402.9280701,170.7162747,1,174.9383144,284.6834888,1
5,350.4763603,175.0706863,1,231.5987983,158.9319363,0.999987602,240.9728508,122.2913992,1,394.448251,175.4636936,0.947304428,174.8893778,285.498291,1
6,348.450062,178.3412609,1,230.0467324,164.2201095,0.999664545,241.645669,123.6444713,1,399.1827023,170.9111176,0.999999881,175.6848187,285.8358345,1
7,347.3328152,180.8163738,1,229.694757,170.944185,0.032883041,243.9225497,138.0974741,1,401.17413,169.8975606,1,175.3957334,285.6777048,1
8,347.6489128,182.0504007,1,242.0439799,175.1573982,0.001250325,243.3376241,142.0117245,1,402.1931032,170.7617617,1,176.0448008,285.7506056,1
9,348.7715496,182.8877933,1,226.062662,165.3209217,0.000691791,243.9123191,140.9233561,1,401.0220933,171.1024013,1,176.2735538,286.0284586,1
10,347.3593057,185.4235086,1,232.4254842,159.3319199,0.000169799,246.396055,141.3450146,1,400.3408425,171.272697,1,175.4512854,285.8635883,1
11,338.9893886,170.1176623,0.999812067,341.8434937,169.7542341,0.266459316,248.8116293,131.902163,1,403.2342218,170.5244184,1,176.8419671,285.6160507,1
12,329.3888621,158.3819029,1,227.2954412,164.5647287,1,251.8362503,122.0394349,1,403.4448472,171.1069469,1,177.5354822,286.6516018,1
13,337.3933139,167.6591871,1,339.1701424,167.2252638,0.005433036,262.4599295,132.1793394,1,407.0834925,173.0027877,0.999994636,175.0430312,285.088316,1
14,336.8486509,170.2253947,1,185.1941898,274.3775477,0.013089529,266.688398,139.9334726,1,406.1742632,172.2094784,0.999987721,171.8296194,284.8474751,0.999995232
15,338.6090262,171.74404,1,247.918942,141.6601046,0.000219598,267.6452383,144.626565,1,404.5413441,171.7355517,0.999999881,212.295892,287.4978919,0.015586727
16,338.9243903,174.2369452,1,344.194638,176.8249137,0.000456744,263.1519074,148.5184869,0.999999881,401.5023327,171.338647,1,208.1134696,286.9005969,0.555247843
17,337.8462386,177.1303864,1,344.0593441,178.4916321,0.000998689,260.5980257,151.5981719,1,400.3696384,171.8084912,1,193.8883271,287.8614681,1
18,338.5965611,179.6249857,1,344.3165429,180.0449142,0.001279223,258.0173862,154.2384253,1,400.7897282,171.9710498,1,195.7982512,287.6301985,1
19,339.8513217,180.8433203,1,344.1260052,181.4462317,0.000658896,255.6214483,163.0772724,1,401.5135083,172.0999365,1,205.7271497,287.2378345,1
20,338.7611651,183.8016567,1,208.2906008,273.9735494,0.005871111,253.602479,166.8889644,1,401.9194975,171.0500116,1,208.1146474,288.8222394,1
21,339.5620942,187.5292401,1,233.568902,187.8886523,0.000823464,252.9388847,172.7315321,1,402.690418,171.1642718,1,227.0844548,288.4318595,1
22,339.6675828,188.3025589,1,221.3890707,272.82547,0.000781858,258.9140911,167.0782804,1,402.4662352,170.7305746,1,232.2823138,289.9301939,0.999994755
23,337.0013041,185.2211204,1,225.5430021,184.9193032,0.000795135,255.77844,151.8867009,1,401.8181386,171.2685413,1,230.6602476,288.9375157,0.999999642
24,333.8358256,182.4727221,1,221.0976297,235.0758054,0.000280757,259.7549599,131.1020456,1,403.6182294,170.6906228,1,176.8610492,285.2072159,1
25,326.0566158,156.3490648,1,228.9012876,163.6407847,1,273.1963267,130.0746813,1,404.4823171,171.1286521,1,176.6382856,285.6952887,1
26,330.3586972,146.1790328,1,236.8630514,165.8781375,1,284.491148,113.0740743,1,403.345477,171.1870232,1,178.544975,285.2286558,1
27,336.2113698,158.2059536,0.999999881,235.9807301,165.8819975,1,292.4721718,103.0649233,1,403.0568313,170.5962191,1,178.1110239,285.6564379,1
28,338.9448093,158.9302168,1,343.1059813,161.0019553,0.000161423,295.0190146,99.07740974,1,402.4888062,170.5741081,1,176.7334442,285.409956,1
29,341.3992335,159.6142702,1,244.1103942,153.8058071,0.999714792,291.0627556,80.51412535,1,401.6851189,171.6878533,1,174.4837544,284.538578,1
30,340.6268642,159.9927702,1,243.9441484,157.5361824,1,288.6873474,66.92947054,1,401.760756,171.1973062,1,176.0882945,284.5327148,1
31,336.5426989,157.6436272,1,241.5382404,158.0746818,1,281.3198485,68.30871391,1,401.6376877,170.7063904,1,175.7236981,284.9661741,1
