scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,309.2263593673706,201.0824954509735,0.0001183803251478821,205.1173448562622,185.1905426979065,1.0,301.639310836792,188.28589820861816,1.0,371.33761101961136,174.03124523162842,1.0,138.97662019729614,287.6637177467346,1.0
1,324.87499314546585,183.33110189437866,0.060369279235601425,205.77832126617432,185.202250957489,1.0,295.5012457370758,175.8488576412201,1.0,371.0186068415642,173.78883826732635,1.0,138.62049055099487,288.5208716392517,1.0
2,323.55531990528107,183.4194700717926,0.9999736547470093,206.3798770904541,186.4814052581787,1.0,295.795373916626,177.0444598197937,1.0,371.5332715213299,173.841215133667,1.0,138.28071880340576,287.6832995414734,1.0
3,324.97751235961914,185.9857177734375,0.9999998807907104,207.12555313110352,189.0087766647339,1.0,294.65126490592957,183.64264178276062,1.0,370.7777075767517,174.4209280014038,1.0,137.98742580413818,288.5348014831543,1.0
4,323.0616422891617,185.88523626327515,0.9999997615814209,209.2014284133911,189.49877643585205,1.0,288.1484580039978,179.37491035461426,1.0,371.5170650780201,174.0254669189453,1.0,138.32372045516968,288.5484323501587,1.0
5,319.240793466568,181.2902466058731,1.0,214.32321572303772,186.9439492225647,1.0,280.28755712509155,152.7752389907837,1.0,371.0806697010994,173.90734767913818,1.0,138.79072904586792,288.61417388916016,1.0
6,318.3524932861328,170.74040460586548,1.0,214.19810438156128,136.07137250900269,0.9991289973258972,272.02400398254395,118.69082641601562,1.0,369.1244361400604,172.93753337860107,1.0,138.43281364440918,288.1353988647461,1.0
7,318.87968277931213,168.23928356170654,1.0,217.3164882659912,157.59663915634155,1.0,255.95461893081665,106.6714825630188,1.0,370.69524097442627,172.79444909095764,1.0,140.59679317474365,287.8465931415558,1.0
8,317.6124840974808,165.47340631484985,1.0,196.9461869597435,159.51685976982117,0.17325739562511444,248.1370406150818,98.2416262626648,1.0,369.04003715515137,173.18716490268707,1.0,140.2432346343994,288.22352600097656,1.0
9,319.2062842845917,128.85034942626953,1.0,199.34759330749512,160.4460473060608,0.0005245621432550251,253.23115015029907,82.07876443862915,1.0,369.9504075050354,173.72428786754608,1.0,139.50639247894287,287.04091119766235,1.0
10,324.2498007416725,161.2233600616455,1.0,207.81090259552002,161.00679540634155,1.0,263.5918309688568,88.46056938171387,1.0,370.09385919570923,172.81487238407135,1.0,138.06652975082397,287.3916184902191,1.0
11,326.875536441803,160.79459142684937,1.0,209.3692226409912,159.9147231578827,1.0,269.7765703201294,85.2308977842331,1.0,370.6063299179077,173.2412897348404,1.0,137.89939069747925,287.0529978275299,1.0
12,329.0428624153137,163.11505270004272,1.0,211.6998167037964,162.15918159484863,1.0,266.2566165924072,81.21405839920044,1.0,370.5374457836151,172.41119289398193,1.0,138.12028694152832,287.1160957813263,1.0
13,331.00347805023193,163.86114925146103,1.0,160.32855319976807,283.891371011734,0.00013388607476372272,268.2483953386545,81.81964206695557,1.0,369.7750687599182,171.69708347320557,1.0,139.83958625793457,288.485981464386,1.0
14,330.8601369857788,164.05808466300368,1.0,248.2258858680725,78.23908424377441,8.073217759374529e-05,268.1571626663208,81.94662618637085,1.0,369.73661971092224,171.57300806045532,1.0,139.28339862823486,287.2201681137085,1.0
15,330.9969689846039,163.83710527420044,1.0,204.33465480804443,164.4166322350502,1.0,263.6115803718567,84.57710838317871,1.0,370.4080300331116,172.91206920146942,1.0,138.98513889312744,286.33442211151123,1.0
16,329.7259669303894,163.3016538619995,1.0,205.21178901195526,163.33706426620483,1.0,264.6016345024109,86.19291710853577,1.0,369.5534303188324,171.71650791168213,1.0,138.5438528060913,286.82469391822815,1.0
17,330.2598433494568,164.38629612326622,1.0,209.23495388031006,162.88245820999146,1.0,273.7829360961914,99.38146018981934,1.0,370.4444683790207,171.6794843673706,1.0,137.50041151046753,287.32732486724854,1.0
18,331.74190267920494,164.4477186203003,1.0,206.6860489845276,164.5507583618164,1.0,281.9740924835205,111.56759333610535,1.0,371.8100887387991,170.40966367721558,1.0,137.77022171020508,288.06850147247314,1.0
19,332.92533326148987,164.9688936471939,1.0,204.79708379507065,164.20729064941406,1.0,291.4045424461365,114.70418977737427,1.0,371.73973420262337,169.73664379119873,1.0,138.25653266906738,287.79231691360474,1.0
20,334.0053708553314,166.23280096054077,1.0,204.42368018627167,164.32655143737793,1.0,297.0277752876282,114.82937622070312,1.0,371.74670046567917,169.3969693183899,1.0,138.43337202072144,287.6616711616516,1.0
21,336.24697494506836,166.1106698513031,1.0,203.4445602297783,164.26424980163574,1.0,300.6278676390648,115.89440250396729,1.0,371.8686302602291,169.97698545455933,1.0,138.16041803359985,288.2664942741394,1.0
22,340.4573999941349,166.49736261367798,1.0,203.69492101669312,163.2993733882904,1.0,304.07220697402954,117.4595079421997,1.0,373.0454430580139,169.569993019104,1.0,138.165123462677,288.34892654418945,1.0
23,341.6571487188339,167.22356986999512,1.0,203.42420518398285,164.18144512176514,1.0,306.2987766265869,120.70358657836914,1.0,373.4196436405182,169.66173601150513,1.0,138.475998878479,288.75989294052124,1.0
