,accuracy,0,1,2,3,4,5,6,7,8,9
a1,0.5714285714285714,1.0,,,,,,,,,
b1,0.35714285714285715,1.0,,,,,,,,,
c1,0.5,1.0,,,,,,,,,
d1,0.5714285714285714,1.0,,,,,,,,,
e1,0.35714285714285715,1.0,,,,,,,,,
f1,0.35714285714285715,1.0,,,,,,,,,
g1,0.5,1.0,,,,,,,,,
h1,0.5714285714285714,1.0,,,,,,,,,
i1,0.2857142857142857,1.0,,,,,,,,,
j1,0.35714285714285715,1.0,,,,,,,,,
k1,0.35714285714285715,1.0,,,,,,,,,
l1,0.42857142857142855,1.0,,,,,,,,,
m1,0.42857142857142855,1.0,,,,,,,,,
n1,0.5,1.0,,,,,,,,,
o1,0.5714285714285714,1.0,,,,,,,,,
p1,0.7142857142857143,1.0,,,,,,,,,
q1,0.5,1.0,,,,,,,,,
r1,0.42857142857142855,1.0,,,,,,,,,
s1,0.6428571428571429,1.0,,,,,,,,,
t1,0.42857142857142855,1.0,,,,,,,,,
u1,0.5,1.0,,,,,,,,,
v1,0.42857142857142855,1.0,,,,,,,,,
w1,0.5,1.0,,,,,,,,,
x1,0.5,1.0,,,,,,,,,
y1,0.42857142857142855,1.0,,,,,,,,,
z1,0.42857142857142855,1.0,,,,,,,,,
a2,0.2857142857142857,0.3976322751322751,0.6023677248677248,,,,,,,,
b2,0.42857142857142855,0.2868509615384615,0.7131490384615385,,,,,,,,
c2,0.35714285714285715,0.4633833678398896,0.5366166321601105,,,,,,,,
d2,0.35714285714285715,0.4455411255411255,0.5544588744588745,,,,,,,,
e2,0.5,0.448560606060606,0.5514393939393939,,,,,,,,
f2,0.5,0.5114565826330532,0.48854341736694673,,,,,,,,
g2,0.42857142857142855,0.6681813634544727,0.3318186365455273,,,,,,,,
h2,0.42857142857142855,0.4038461538461538,0.5961538461538463,,,,,,,,
i2,0.2857142857142857,0.585899131732465,0.41410086826753495,,,,,,,,
j2,0.42857142857142855,0.33554945054945046,0.6644505494505495,,,,,,,,
k2,0.35714285714285715,0.7583895096500137,0.24161049034998627,,,,,,,,
l2,0.5714285714285714,0.3840835349291232,0.6159164650708768,,,,,,,,
m2,0.21428571428571427,0.4131117724867725,0.5868882275132274,,,,,,,,
n2,0.5,0.14630391081871352,0.8536960891812865,,,,,,,,
o2,0.5,0.5451379517168992,0.45486204828310084,,,,,,,,
p2,0.21428571428571427,0.6060794346978559,0.3939205653021442,,,,,,,,
q2,0.42857142857142855,0.4647792022792021,0.5352207977207978,,,,,,,,
r2,0.5714285714285714,0.405952380952381,0.594047619047619,,,,,,,,
s2,0.5,0.6505477344293134,0.3494522655706867,,,,,,,,
t2,0.2857142857142857,0.5693051201671891,0.43069487983281085,,,,,,,,
u2,0.2857142857142857,0.5145604395604396,0.48543956043956044,,,,,,,,
v2,0.2857142857142857,0.35219444444444437,0.6478055555555556,,,,,,,,
w2,0.7142857142857143,0.37806507218271923,0.6219349278172808,,,,,,,,
x2,0.5,0.5013843772803238,0.49861562271967613,,,,,,,,
y2,0.35714285714285715,0.5479485912011863,0.45205140879881367,,,,,,,,
z2,0.5,0.5569877951180471,0.44301220488195286,,,,,,,,
a3,0.5,0.20565605004543625,0.339350414078675,0.4549935358758888,,,,,,,
b3,0.5,0.26373626373626374,0.4389140271493213,0.29734970911441494,,,,,,,
c3,0.42857142857142855,0.18099547511312214,0.5794369029663147,0.23956762192056322,,,,,,,
d3,0.6428571428571429,0.3013392857142857,0.4958545918367347,0.20280612244897958,,,,,,,
e3,0.5,0.26879699248120287,0.3262987012987013,0.4049043062200957,,,,,,,
f3,0.5,0.4829446571528019,0.1943644590703414,0.32269088377685673,,,,,,,
g3,0.42857142857142855,0.3079805996472664,0.21044634377967705,0.48157305657305655,,,,,,,
h3,0.42857142857142855,0.17582417582417584,0.3406593406593407,0.48351648351648346,,,,,,,
i3,0.5714285714285714,0.44448757763975155,0.3125,0.24301242236024845,,,,,,,
j3,0.35714285714285715,0.1491760834321389,0.2863842040312628,0.5644397125365983,,,,,,,
k3,0.2857142857142857,0.5535298035298035,0.3207261488511489,0.12574404761904756,,,,,,,
l3,0.7142857142857143,0.24213676948051957,0.298015873015873,0.45984735750360745,,,,,,,
m3,0.42857142857142855,0.6108193277310926,0.2463235294117647,0.1428571428571428,,,,,,,
n3,0.2857142857142857,0.17857142857142855,0.23384353741496602,0.5875850340136054,,,,,,,
o3,0.35714285714285715,0.28054298642533937,0.5067873303167421,0.21266968325791857,,,,,,,
p3,0.7857142857142857,0.3129699248120302,0.3293650793650793,0.3576649958228906,,,,,,,
q3,0.35714285714285715,0.2882813619704756,0.30102051262551655,0.4106981254040079,,,,,,,
r3,0.5,0.35013640873015867,0.06696428571428571,0.5828993055555557,,,,,,,
