,Unnamed: 0.1,Unnamed: 0.1.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,,,0.002586208516731859,259.29262590408325,196.38186633586884,1.0,372.224289894104,208.01642417907715,1.0,417.4413316249848,194.84075593948364,1.0,181.21362018585202,314.02425289154047,1.0,,0.2927598625188097,0.0,,0.0,,,,False,0
1,1,1,1,,,0.0013406574726104734,259.92189121246344,197.96725058555603,1.0,372.184592038393,211.02961254119882,1.0,417.62620186805725,195.13205766677856,1.0,181.21620559692383,313.90820503234863,1.0,,0.7028511717714454,0.6292653083801838,,0.1627720435798508,,,-1.7057016290919809,False,0
2,2,2,2,,,0.0011470245663076641,261.3472415208816,198.81441640853882,1.0,372.0197763442993,217.37888050079343,1.0,417.7202291488648,195.04755020141602,1.0,180.96862697601318,313.84855937957764,1.0,,0.9219875367060948,2.054615616798344,,0.5314673767384723,,,-1.6581053746182264,False,0
3,3,3,3,,,0.001112844212912023,262.4533493518829,201.2398738861084,0.9999498128890992,370.9148111343384,223.8363554477692,1.0,187.49944651126862,191.1208348274231,1.0,180.7970066070557,313.9239511489868,1.0,,1.5493805694736122,3.1607234477996258,,0.8175842652337425,,,-2.6657679023689496,False,0
4,4,4,4,,,0.0005368532729335129,261.5564296245575,202.9203361272812,0.9999998807907104,367.3375976085663,231.16178822517395,1.0,186.81215465068817,191.6262848377228,1.0,181.4245777130127,314.12675333023066,1.0,,1.9840657007079736,2.263803720474243,,0.5855780589490794,,,-1.9048407653326085,False,0
5,5,5,5,,,0.0006421439466066657,260.66015028953547,204.1082967221737,1.0,367.0566184520722,236.44803428649902,1.0,418.7339254617691,195.2052240371704,1.0,181.68034076690674,313.86320447921764,1.0,,2.2913554418518807,1.3675243854522137,,0.3537375029275428,,,-1.4881421375006083,False,0
6,6,6,6,,,0.00033551751403138036,259.88429307937616,204.2125671058893,1.0,368.8545351028442,239.29806542396545,1.0,418.21007120609283,195.49466848373413,1.0,181.18492698669442,313.72281360626215,1.0,,2.3183270597310512,0.5916671752929119,,0.1530465353150523,,,-0.7828325002683356,False,0
7,7,7,7,,,0.0009172452846542,259.083770275116,204.3803363442421,1.0,368.6853942871094,238.10957026481628,1.0,418.78543508052826,195.47607040405273,1.0,180.73906135559082,313.3778624534607,1.0,,2.3617239249528303,-0.2088556289672283,,-0.054024680984974184,,,-0.8179139792655452,False,0
8,8,8,8,,,0.0023506730794906608,257.90037870407104,205.7333413362503,1.0,367.4393436908722,233.34148502349854,1.0,419.18192279338837,195.6362442970276,1.0,181.64599895477286,313.46497058868414,1.0,,2.711705696695217,-1.392247200012207,,-0.3601325528299991,,,-1.7975088647401545,False,0
9,9,9,9,,,0.0008826647535897791,258.5231885910034,209.06075572967532,1.0,366.2595283985138,237.27043628692627,1.0,419.7432251572609,195.52806425094604,1.0,181.58073711395264,313.79938507080084,1.0,,3.5724079051944817,-0.7694373130798341,,-0.19903033297511125,,,-3.38519994990439,False,0
