,Unnamed: 0.1,Unnamed: 0.1.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,300.51494598388666,197.42265796661374,1.0,177.0764799118042,209.28914213180542,1.0,254.2473077774048,160.5738568305969,1.0,361.41297006607056,204.00434398651126,1.0,125.418860912323,318.5418629646301,1.0,-1.8956316839237144,1.2159117234609564,0.0,123.43846607208246,0.0,32.367139245077354,,,False,0
1,1,1,1,301.25063323974615,197.1064786911011,1.0,176.16456127166748,210.341938495636,1.0,258.44415283203125,168.27392053604123,1.0,361.08682465553284,203.9424133300781,1.0,126.0377287864685,319.03995013237005,1.0,-1.9785379202256883,1.4919683498039653,-0.9119186401367188,124.17415332794195,-0.2391166914554061,32.56004582119543,0.8007528162284301,-1.3928301367803846,True,1
2,2,2,2,302.2624220848084,198.71978998184204,1.0,175.63781547546387,211.87586545944214,1.0,257.1175358295441,174.2045373916626,1.0,361.1697182655335,204.18773460388184,1.0,126.03065609931946,319.22713971137995,1.0,-1.5555071352953709,1.8941835523187127,-1.4386644363403318,125.18594217300421,-0.377236153524268,32.82534975340423,-1.904334526238656,-1.6218486563516767,False,0
3,3,3,3,304.3429770469665,200.0423674583435,1.0,175.2068853378296,214.52653694152832,1.0,257.38767910003656,185.12113380432132,1.0,360.34538793563837,203.71854639053345,1.0,128.3341965675354,318.7675242424011,1.0,-1.2087104623739169,2.5892234024051426,-1.8695945739746087,127.2664971351623,-0.4902315285766769,33.37089778482487,-2.465343816166344,-2.6854720422053275,False,0
4,4,4,4,305.63239765167236,202.75664949417114,1.0,176.4139437675476,216.01939487457275,1.0,261.986110329628,192.60985708236686,1.0,360.11638021469116,204.5379484295845,1.0,127.15430188179016,319.13068532943726,1.0,-0.4969911142677712,2.980669781556931,-0.6625361442565918,128.55591773986816,-0.17372542221585294,33.7090003033187,-3.0049846032644933,-1.919795525832641,False,0
5,5,5,5,305.4791150093078,203.04806566238403,1.0,175.92627382278442,216.83143091201785,1.0,263.8052315711975,195.9831824302673,1.0,359.7947325706482,204.09647560119632,1.0,127.6008026599884,319.2474687099457,1.0,-0.4205780803492721,3.1935959814066432,-1.1502060890197754,128.40263509750358,-0.3015986979463835,33.66880764063307,-0.3292703320163312,-0.9472193521750182,False,0
6,6,6,6,306.23689258098597,203.8614797592163,1.0,176.09970092773438,218.12191343307487,1.0,266.1135330200196,200.12982034683228,1.0,360.1266269683838,204.3148012161255,1.0,127.01285791397095,319.10798811912537,1.0,-0.20729053576244305,3.531976947903745,-0.9767789840698242,129.16041266918177,-0.2561239003941539,33.86750657913884,-1.1116966047730459,-1.302083752254436,False,0
7,7,7,7,307.5510312318802,205.12124347686768,1.0,175.56779336929318,219.84888887405398,1.0,265.87836408615107,203.81982183456418,1.0,360.4263486862183,204.91074526309967,1.0,124.96199512481691,319.39588832855225,1.0,0.12303556891636427,3.984811921876595,-1.5086865425110147,130.47455132007602,-0.3955968423174729,34.21209048441836,-1.8204298992504162,-1.8070334320293813,False,0
8,8,8,8,305.777599811554,208.54025602340698,1.0,174.46542859077454,222.4841365814209,1.0,265.29367876052856,212.8316946029663,1.0,361.011869430542,205.5841774940491,1.0,125.54038429260254,319.1226809024812,1.0,1.0195442399645098,4.675807461628419,-2.611051321029663,128.70111989974978,-0.6846509388285735,33.747074160497306,-3.8515848421128296,-2.8565256141160447,False,0
9,9,9,9,305.0708239078522,210.17215049266807,1.0,175.36523532867432,224.63113880157468,1.0,266.4648699760437,218.43845558166504,1.0,360.7008991241455,205.7606570720673,1.0,125.78599548339844,318.0949003696442,1.0,1.4474477711781981,5.238778811083031,-1.7112445831298828,127.99434399604796,-0.4487101425272503,33.561748509441145,-1.7783733401225028,-2.327932709275572,False,0
