,Unnamed: 0.1,Unnamed: 0.1.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0.0,295.0695229,218.2411413,1.0,,,0.00040869400000000003,186.0905384,158.2377377,1.0,388.0950952,183.3752072,1.0,177.70276189999996,305.6921835,1.0,8.582450515008052,,,129.39087049999998,,32.770543210029714,,,False,0
1,1,1,1.0,283.9930617,175.8695898,1.0,,,0.000501983,193.2212121,158.49498269999995,1.0,387.3769073,183.6445124,1.0,147.3617315,305.3825827,1.0,-2.148899803148667,,,118.3144093,,29.9652320704867,43.795392100451146,,True,1
2,2,2,2.0,280.2966795,174.3305881,1.0,165.6786524,187.9625363,1.0,198.0780082,168.42579890000005,1.0,386.91427989999994,183.9997382,1.0,145.8926439,305.75381469999996,1.0,-2.5386794028628463,0.9138543485426456,0.0,114.61802709999998,0.0,29.02905742278708,4.003968981033675,,True,0
3,3,3,3.0,280.9685469,178.618722,1.0,165.32946204761905,187.25046880952385,0.061834815999999994,187.7321444,176.35231399999995,1.0,387.3403024,183.1141772,1.0,157.81096340000005,304.10701889999996,1.0,-1.4526330943611736,0.7335105702301997,-0.3491903523809583,115.28989449999996,-0.0884386779917807,29.199219811972874,-4.340449072102089,0.7930788190268051,False,0
4,4,4,4.0,282.1102295,179.74635130000001,1.0,164.9802716952381,186.53840131904764,0.000469291,185.20611100000002,171.07653,1.0,388.5864539,183.27568630000002,1.0,147.9354825,304.2439127,1.0,-1.1670408840471902,0.5531667919177395,-0.6983807047619166,116.4315771,-0.1768773559835614,29.488371270888514,-1.6046766021106431,0.7930788190268562,False,0
5,5,5,5.0,281.6546011000001,181.5004246,1.0,164.63108134285713,185.82633382857142,5.7499999999999995e-05,178.5260048,160.7887187,1.0,387.5215215,183.8255475,1.0,143.3229802,303.67485669999996,1.0,-0.7227905698705809,0.3728230136052794,-1.0475710571428751,115.97594870000007,-0.2653160339753421,29.372975261013817,-1.8122831954910696,0.7930788190268562,False,0
6,6,6,6.0,281.9079351000001,182.6496446,1.0,164.28189099047614,185.11426633809532,0.000152909,181.6140682,171.09843869999997,1.0,387.209929,183.6540887,1.0,151.35050080000005,304.65045069999996,1.0,-0.4317301301169906,0.19247923529284086,-1.3967614095238616,116.22928270000007,-0.35375471196713,29.437136609967485,-1.1768112524767784,0.7930788190267667,False,0
7,7,7,7.0,282.4414592,184.0779338,1.0,163.93270063809518,184.4021988476191,0.000984063,181.6967306,176.33489369999995,1.0,386.1288042,183.48042560000002,1.0,149.71160790000005,303.94934839999996,1.0,-0.069990443505797,0.012135456980387885,-1.7459517619048202,116.7628068,-0.4421933899589107,29.57226109367393,-1.5246829192056357,0.7930788190268562,False,0
8,8,8,8.0,284.2305183,187.15533019999998,1.0,163.58351028571425,183.69013135714286,0.001794992,179.74741699999996,180.6426916,1.0,386.5563717,183.3565252,1.0,147.3960543,304.6753697,1.0,0.7094150223581166,-0.16820832133206506,-2.0951421142857503,118.55186590000002,-0.5306320679506842,30.025372185015165,-3.559649008824563,0.7930788190268692,False,0
9,9,9,9.0,286.2305836999999,189.8893584,1.0,163.23431993333332,182.97806386666667,0.000148897,177.4569325,188.1579809,1.0,387.69282630000004,183.6065145,1.0,146.67594580000005,303.6648242,1.0,1.4018563740494574,-0.34855209964453243,-2.44433246666668,120.55193129999992,-0.6190707459424577,30.531924381165517,-3.3875022955965566,0.7930788190268182,False,0
10,10,10,10.0,287.513464,190.9050081,1.0,162.88512958095234,182.26599637619046,0.000174367,172.40558240000001,183.5283813,1.0,386.56789110000005,183.2364695,1.0,142.0148401,303.4428651,1.0,1.659087755610524,-0.5288958779569926,-2.7935228190476664,121.8348116,-0.7075094239342457,30.856836673215128,-1.636253701978536,0.7930788190268687,False,0
11,11,11,11.0,285.0372159,191.44132140000002,1.0,162.53593922857138,181.5539288857144,0.000773539,175.9108295,170.2825913,1.0,387.68222000000003,183.3645654,1.0,150.8450804,304.8447638,1.0,1.7949186539099775,-0.7092396562694168,-3.1427131714286247,119.35856349999996,-0.7959481019260263,30.22968272451513,-2.5336607129824267,0.7930788190267031,False,0
12,12,12,12.0,282.55575699999997,190.6620233,1.0,162.18674887619042,180.84186139523808,0.001152069,181.3717024,152.9160185,1.0,386.96495530000004,182.799072,1.0,162.6750345,304.8464618000001,1.0,1.597547525940449,-0.8895834345818913,-3.491903523809583,116.87710460000002,-0.884386779917807,29.60120904787841,2.6009505572103646,0.7930788190269583,True,9
13,13,13,13.0,277.11658930000004,188.3626499,1.0,161.83755852380946,180.12979390476195,0.000106659,182.928246,140.9185658,1.0,387.32879019999996,182.9575906,1.0,170.5113015,304.0451508,1.0,1.0151902462536084,-1.0699272128943371,-3.841093876190541,111.43793690000004,-0.9728254579095876,28.22364292245809,5.905223391316366,0.7930788190267797,True,0
