,Unnamed: 0,Unnamed: 0.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,382.59014892578125,213.51415741443645,1.0,202.44323015213013,198.7782166004181,1.0,274.29903638362885,148.61614990234375,1.0,420.6662876009941,209.1884160041809,1.0,196.099425174296,325.0731201171875,1.0,1.3340000350416523,-2.5153472784046658,0.0,180.14691877365112,0.0,47.05828196237781,,,False,0
1,1,1,1,383.4118750095368,214.6940805912017,1.0,201.83166265487668,198.5851972103119,1.0,276.8540756106377,145.41839742660522,1.0,421.0501456260681,209.57686424255368,1.0,196.3343826234341,324.7267990112305,1.0,1.6422215573643868,-2.565768129039566,-0.6115674972534464,180.9686448574067,-0.15975469311766965,47.27293463592032,-1.4378638530097403,0.6413043650668644,False,0
2,2,2,2,381.93719267845154,215.3538155555725,1.0,293.4980643987655,205.77208986878395,0.002357168821617961,280.7009100914001,139.98047161102295,1.0,421.5368460416794,208.92872524261475,1.0,196.10515833646062,323.0970621109009,1.0,1.8145586374829168,-0.6883959071995556,91.05483424663538,179.4939625263214,23.785497377279953,46.887715630157906,-1.615530315663689,-91.9477059787596,False,0
3,3,3,3,382.1878790855408,214.93046474456787,1.0,385.16446614265436,212.958982527256,0.9468297958374025,269.1377106904984,140.93321132659912,1.0,421.8402876853943,209.16555738449097,1.0,197.8467787504196,323.8038220405578,1.0,1.7039702245981578,1.188976314640455,182.72123599052426,179.74464893341067,47.730749447677574,46.95320035623178,0.4920056746396556,-91.94770597875963,True,3
4,4,4,4,379.6942074000835,215.17409372329712,1.0,226.14136064052585,198.4013671875,1.0,264.83252334594727,132.10123920440674,1.0,422.2642595767975,209.03195238113403,1.0,195.84169101715088,321.61478900909424,1.0,1.767611397332576,-2.6137885176508284,23.69813048839572,177.25097724795341,6.19046561604172,46.301799232667214,-2.5055445623912425,159.68804666574576,False,0
5,5,5,5,380.7181296944618,215.2024838924408,1.0,225.89526796340942,199.36571526527405,1.0,272.1776156425476,130.01406335830686,1.0,421.6473978757858,209.15637493133545,1.0,195.83050870895386,322.53243446350103,1.0,1.7750275251998606,-2.3618798862809665,23.452037811279297,178.2748995423317,6.126180871859269,46.56926994137783,-1.0243158041488012,-0.9952531440979371,False,0
6,6,6,6,380.9897484183312,216.0853719711304,1.0,224.22114610672,199.39333605766296,1.0,273.93565201759344,134.04623222351074,1.0,421.37270426750183,209.05859279632568,1.0,195.3125066757202,323.13829374313354,1.0,2.0056570382164005,-2.3546647363072104,21.777915954589872,178.5465182662011,5.688863936838822,46.64022264254596,-0.9237251163894216,-1.6743496944239094,False,0
7,7,7,7,381.20828449726105,217.08171558380127,1.0,223.59561944007874,199.550448179245,1.0,272.98376321792597,136.78050947189328,1.0,421.4959609508514,208.79804277420044,1.0,195.32735204696647,323.3970355987549,1.0,2.2659235971764846,-2.313623642918296,21.15238928794861,178.76505434513092,5.5254628059497835,46.697309005672466,-1.0200287311169582,-0.6449556802039483,False,0
8,8,8,8,379.40195256471634,218.18419885635376,1.0,225.57000970840454,199.50459885597232,1.0,275.223626434803,135.7774305343628,1.0,421.48950278759,208.7396445274353,1.0,195.5791916847229,323.39295911788935,1.0,2.553916137108666,-2.3256004804742063,23.12677955627441,176.95872241258618,6.0412163618981385,46.225455931648256,-2.116200467060895,1.9749225534446175,False,0
9,9,9,9,377.93323516845703,219.0958058834076,1.0,223.76612854003903,200.14919137954712,1.0,273.046615600586,135.4379484653473,1.0,421.9491674900055,208.78064012527463,1.0,195.55494946241382,324.04233169555664,1.0,2.7920476622550106,-2.1572189342800328,21.322898387908907,175.4900050163269,5.570003480626347,45.8417950962217,-1.728628983283809,-1.9155904549334744,False,0
10,10,10,10,362.09803795814514,206.87042337656018,0.0009620554046705363,222.22515869140625,200.70475435256958,1.0,271.4987895488739,128.19391059875488,1.0,421.73080122470856,209.48208856582642,1.0,195.6081624031067,322.651704788208,1.0,-0.4014873758213262,-2.01209383744062,19.781928539276127,159.654807806015,5.167468737727984,41.70529817290209,20.005335491518213,-1.6380593064321272,True,6
11,11,11,11,346.26284074783325,194.64504086971283,0.9994937181472778,223.06310868263245,201.62398672103882,1.0,282.53399515151983,136.00130224227905,1.0,420.37971356511116,207.856073141098,1.0,195.73049974441528,322.1288900375366,1.0,-3.5950224138976483,-1.7719704077486504,20.61987853050232,143.81961059570312,5.386359447743623,37.56880124958248,20.005335491518224,-1.2438441763490906,True,0
12,12,12,12,349.373916387558,196.64448511600486,1.0,198.18892669677726,204.18134962022305,0.9999984502792358,278.4254906177521,133.23590660095215,1.0,420.6137111186981,207.53822422027588,1.0,195.189828813076,323.78718709945684,1.0,-3.072724215568284,-1.1039317579111525,-4.2543034553528685,146.93068623542788,-1.111316324022498,38.3814816754098,-3.698184545167933,-25.005300127444315,False,0
