,Unnamed: 0,Unnamed: 0.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,329.58405399322515,174.05184936523438,1.0,209.7229247093201,153.78436708450315,1.0,214.8425431251526,106.25062227249146,1.0,425.88208889961237,164.26581096649167,1.0,189.7690316438675,282.88930559158325,1.0,2.218137407680942,-2.971458792991857,0.0,119.86112928390509,0.0,30.691077092070984,,,False,0
1,1,1,1,329.6117691993713,174.23403143882751,1.0,207.16163158416748,155.8031363487244,1.0,216.433012008667,110.20154213905334,1.0,425.7190201282501,164.09641742706302,1.0,189.3153313398361,282.64534473419184,1.0,2.2647860926953856,-2.45454222888572,-2.5612931251526163,119.88884449005121,-0.6558326726027764,30.69817371742013,-0.18427816091555302,-3.2612347071498022,False,0
2,2,2,2,329.8348650932312,174.39423632621762,1.0,205.5462235212326,154.69351673126218,1.0,213.8057564496994,113.60414028167723,1.0,426.2078331708908,164.15958881378177,1.0,189.49871850013733,281.9506297111511,1.0,2.3058074027630573,-2.7386662099116528,-4.176701188087492,120.11194038391108,-1.0694664643990692,30.755298602846175,-0.2746586678057585,1.9597956284398637,False,0
3,3,3,3,330.19525957107544,175.89222359657288,1.0,204.321103900671,156.30123817920685,0.9999994039535522,217.41754388809204,121.42473602294922,1.0,427.6140429973602,163.0048928260803,1.0,188.93844312429428,282.69236755371094,1.0,2.6893749786075767,-2.327000616601816,-5.4018208086490915,120.47233486175536,-1.3831648330553854,30.84757951801155,-1.5407303598641142,-2.021308076188858,False,0
4,4,4,4,331.28279542922974,177.41859149932858,1.0,205.57664010157959,155.9985693968259,0.2124624252319336,218.4799873828888,125.89536380767822,1.0,424.19332122802734,159.67115592956543,1.0,188.6959228515625,282.65238571166987,1.0,3.080209565718618,-2.40450056165418,-4.14628460774054,121.55987071990965,-1.0616781378758449,31.126048835482656,-1.8741753432734796,1.291502823698003,False,0
5,5,5,5,331.8108232170344,178.48123168945312,1.0,206.832176302488,155.695900614445,0.12082996964454652,216.84237384796143,127.43686318397522,1.0,423.7231767177582,161.2252869606018,1.0,187.91329860687256,282.59768724441534,1.0,3.352304215511181,-2.4820005067065294,-2.890748406832074,122.08789850771429,-0.7401914426963263,31.26125314766533,-1.1865991397105435,1.291502823697824,False,0
6,6,6,6,331.8097112774849,180.80667877197263,1.0,208.08771250339657,155.3932318320641,0.0015878350241109727,217.38955450057983,134.92482948303223,1.0,424.83127069473267,163.65578174591062,1.0,189.07862949371338,282.3833642005921,1.0,3.9477472595533274,-2.5595004517588857,-1.6352122059235228,122.08678656816481,-0.4187047475167858,31.26096842965341,-2.3254473483628972,1.2915028236979966,False,0
7,7,7,7,331.2661499977112,182.86914443969727,1.0,209.34324870430507,155.09056304968314,0.00010986849520122632,217.081768989563,139.5457124710083,1.0,425.8887777328491,164.3193092346191,1.0,189.02337646484366,282.70406627655035,1.0,4.475852519248943,-2.6370003968112496,-0.3796760050150283,121.54322528839107,-0.09721805233725997,31.121786684566693,-2.1328908775209463,1.2915028236979202,False,0
8,8,8,8,331.5406875610352,185.41839599609366,1.0,210.5987849052136,154.78789426730225,0.0024935055989772077,218.3061661720276,144.55892276763916,1.0,426.0433064699173,164.58515739440918,1.0,188.09903049469003,283.05841064453125,1.0,5.128601884384032,-2.7145003418636002,0.8758601958934946,121.81776285171513,0.2242686428422732,31.19208348196036,-2.563991882098178,1.2915028236979345,False,0
9,9,9,9,331.49068462848663,187.14543771743772,1.0,211.85432110612214,154.48522548492133,0.0005260842735879123,216.13055801391602,149.77216148376462,1.0,426.2906222343445,164.56698417663574,1.0,186.794397354126,283.63696813583374,1.0,5.570820065771638,-2.792000286915956,2.131396396802046,121.76775991916656,0.5457553380218136,31.179279966201356,-1.7277654356209584,1.2915028236979689,False,0
10,10,10,10,332.1202682182193,188.3741788864136,1.0,213.10985730703064,154.18255670254044,0.0004506490367930383,214.56199717521667,153.73364353179932,1.0,426.3877354860306,164.88518905639646,1.0,184.97688007354736,283.6326069831848,1.0,5.885445751083817,-2.8695002319683054,3.3869325977105404,122.39734350889921,0.8672420332013395,31.340488179438022,-1.3806449061206414,1.291502823697907,False,0
11,11,11,11,332.06127062812453,188.80376625061038,1.0,214.3653935079392,153.87988792015958,0.0001582259137649089,213.95361721515656,153.79064893722534,1.0,426.1186306476593,164.5893497467041,1.0,184.8383655548096,283.03312635421764,1.0,5.995443871334411,-2.9470001770206475,4.642468798619063,122.33834591880444,1.1887287283808727,31.325381533967036,-0.4336196710419426,1.2915028236979555,False,0
12,12,12,12,332.22691822052,190.3504705429077,1.0,215.62092970884763,153.57721913777863,0.00014877122885081917,214.50198411941528,153.27986288070682,1.0,425.5924434661865,164.71462535858151,1.0,184.16600942611686,283.5330352783203,1.0,6.391485698715291,-3.0245001220730114,5.8980049995275285,122.50399351119991,1.5102154235603913,31.36779647748291,-1.5555491932681953,1.291502823697865,False,0
13,13,13,13,329.6485319137573,190.38156580924988,1.0,216.87646590975618,153.27455035539768,0.00011056382209062576,215.1780495643616,150.25610446929932,1.0,425.7606632709503,163.6847190856934,1.0,185.0073847770691,282.99974107742315,1.0,6.399447806382793,-3.1020000671253767,7.153541200436081,119.92560720443724,1.8317021187399318,30.70758700518137,-2.578573803964173,1.2915028236979755,False,0
14,14,14,14,324.22328895330435,190.15965175628662,1.0,218.13200211066467,152.97188157301682,0.0001565284183016047,213.92034256458282,141.97901535034183,1.0,425.77270007133484,164.0224046707153,1.0,186.72528219223025,283.77164268493647,1.0,6.3426255375788925,-3.1795000121777184,8.409077401344575,114.50036424398424,2.1531888139194577,29.31842480608271,5.429779648093205,1.2915028236979005,True,14
15,15,15,15,324.14211538434034,180.1230535507202,1.0,219.3875383115732,152.6692127906359,0.001052053296007216,220.6726360321045,123.71526193618773,1.0,426.5144855976105,163.4974551200867,1.0,187.1472053527832,281.97261524200434,1.0,3.772701400291928,-3.2569999572300743,9.664613602253098,114.41919067502023,2.474675509098991,29.2976398837497,10.036926456255307,1.2915028236979411,True,0
16,16,16,16,318.526953458786,134.63925766944885,1.0,220.6430745124817,152.366544008255,0.999886155128479,236.00081443786618,108.94985401630402,1.0,427.8192014247178,163.80270004272458,1.0,207.9290153980255,282.8890143632889,1.0,-7.873665475875714,-3.334499902282424,10.920149803161593,108.80402874946593,2.7961622042785166,27.859847927581377,45.829092629238794,1.291502823697907,True,0
17,17,17,17,320.3459067344665,153.84696245193481,1.0,200.63708925247192,154.30421590805054,1.0,233.0924000740052,99.94959912076591,1.0,427.35608237981796,163.91516876220703,1.0,191.08302283287048,281.9779343605041,1.0,-2.955430917575286,-2.8383487479335896,-9.085835456848171,110.62298202514641,-2.32647629901351,28.32560054933881,-19.293639211673952,-20.099602449177574,False,0
18,18,18,18,321.7412457466125,154.50213909149167,1.0,203.59629599253338,155.86476206779483,0.5084246397018433,233.10680150985718,96.41205549240112,1.0,426.65697062015533,163.951828956604,1.0,190.1337971687317,282.3546996116638,1.0,-2.7876694683573744,-2.4387626370685496,-6.126628716786713,112.01832103729241,-1.5687557374502892,28.682884494911452,-1.5415016665049632,-3.3454758775274156,False,0
19,19,19,19,323.0363002419472,156.22566986083984,1.0,206.5555027325948,157.42530822753906,0.03207030892372132,234.4483238458633,95.31506085395813,1.0,426.8076729774475,164.38538455963138,1.0,214.5708205699921,283.24679374694824,1.0,-2.3463502848268365,-2.0391765262035246,-3.167421976725308,113.31337553262709,-0.8110351758870826,29.0144900587186,-2.155858172231298,-3.3454758775273388,False,0
20,20,20,20,327.3395533561706,155.01051616668698,1.0,209.51470947265625,158.9858543872833,0.9999955892562866,255.90880823135376,85.82355666160582,1.0,426.35889196395874,164.23290061950684,1.0,191.79428911209104,282.44034147262573,1.0,-2.6574968252338125,-1.6395904153384997,-0.2082152366638468,117.61662864685049,-0.053314614323861725,30.11636081418677,4.4715305953875495,-3.3454758775273894,True,3
21,21,21,21,326.4632759094238,154.80206108093262,1.0,221.1464171409607,155.43858790397644,0.002800713991746307,259.95946162566537,87.62637686729431,1.0,427.0682085752487,164.51938343048099,1.0,190.9141411781311,282.34220695495605,1.0,-2.710872854187852,-2.5478867892815504,11.423492431640597,116.74035120010372,2.9250457506514533,29.89198533205323,0.9007306403436586,12.160580692733573,True,0
22,22,22,22,326.56239366531366,154.1684145927429,1.0,232.77812480926517,151.89132142066956,1.0,251.00260066986084,92.02413654327393,1.0,427.2934648990631,163.81142950057986,1.0,190.18468022346497,282.22884130477905,1.0,-2.8731213940967963,-3.4561831632246096,23.05520009994507,116.83946895599355,5.903406115626776,29.91736495850412,0.6413518547005296,12.16058069273361,True,0
23,23,23,23,323.9308246150613,154.06449699401855,1.0,232.0719928741455,151.7603886127472,1.0,246.4691081047058,94.91914534568787,1.0,427.93914510309685,163.89613914489746,1.0,188.5316976904869,281.80737018585205,1.0,-2.899730045731616,-3.4897092022819285,22.34906816482541,114.2078999057412,5.7225972930551325,29.24353776300773,2.633620043508716,0.718168301992135,True,0
24,24,24,24,322.2531018257141,153.78132486343384,1.0,230.8731391429901,151.12813353538513,1.0,245.7848926782608,97.74194002151488,1.0,427.30756157636637,163.60287523269653,1.0,188.9194313287735,281.60016870498663,1.0,-2.9722377698121747,-3.6516014640777454,21.150214433670016,112.530177116394,5.415624444519255,28.81394795541452,1.7014523835343562,1.3553585324759343,True,0
25,25,25,25,322.291531085968,154.0007791519165,1.0,230.90922737121585,150.64399361610413,1.0,246.59324407577515,100.1690797805786,1.0,427.07287579774857,164.00115489959714,1.0,189.54490780830383,282.07384204864496,1.0,-2.916045336733609,-3.7755680550382538,21.186302661895763,112.56860637664794,5.424865026526193,28.82378797107339,-0.22279361026989905,0.4854830807122857,False,0
26,26,26,26,322.43863821029663,154.56917238235476,1.0,229.21632730960846,152.47644567489627,1.0,246.74042415618896,107.49957513809204,1.0,426.7668206691742,163.77804517745972,1.0,188.66376304626462,281.7863101959228,1.0,-2.7705052391372287,-3.3063589983581436,19.493402600288363,112.71571350097652,4.991388997972368,28.861455529526534,-0.5871212570127877,-2.4947527264965292,False,0
27,27,27,27,323.4525641798973,155.79846572875974,1.0,227.4729729294777,153.34338235855103,0.9999998807907104,246.65966892242432,107.96242885291576,0.9999990463256836,427.0349963903427,163.98708009719851,1.0,204.72949981689453,281.7266206741333,1.0,-2.455738165869289,-3.0843752680950134,17.750048220157595,113.7296394705772,4.5449938738895685,29.12107664510071,-1.5934892542299148,-1.9470140493040728,False,0
28,28,28,28,324.2077565640211,156.82421970367432,1.0,205.3128981590271,160.41735458374026,0.999990940093994,241.80466556549072,101.30652630329132,1.0,426.57740545272827,164.3697004318237,1.0,190.7865607738495,281.9466848373413,1.0,-2.1930884268781443,-1.2730472069668175,-4.410026550292997,114.484831854701,-1.1292106593834406,29.3144476555272,-1.2737687208012496,-23.261771146555233,False,0
29,29,29,29,325.7678366899491,156.91376113891604,1.0,216.6718511581421,152.3176212310791,1.0,252.29395866394043,103.14151167869568,1.0,425.9211757183075,163.98320245742795,1.0,190.30335021018985,281.0759234428406,1.0,-2.1701608680577253,-3.3470268385363564,6.948926448821991,116.04491198062901,1.7793094276858672,29.713914435964856,-1.5626476467651358,13.951039159156391,False,0
30,30,30,30,326.80842375755316,158.2460753917694,1.0,221.95540356636047,152.6537570953369,0.00027797557413578044,237.75585269927976,102.54041004180908,1.0,426.00114965438837,164.2908239364624,1.0,209.23923587799072,284.0273447036743,1.0,-1.8290147459622583,-3.260957469884649,12.232478857040375,117.08549904823307,3.132191010309186,29.98036226691431,-1.6905273477885674,-5.294233973827623,False,0
31,31,31,31,326.72344923019415,158.93671989440918,1.0,227.23895597457886,152.98989295959473,0.9533113837242126,235.70637941360474,103.08895921707152,1.0,426.06935703754425,164.0838861465454,1.0,201.2494659423828,283.2295289039612,1.0,-1.6521715625184787,-3.1748881012329413,17.51603126525876,117.00052452087404,4.4850725929325055,29.958604089049487,-0.6958523545454329,-5.294233973827623,False,0
