,Unnamed: 0.1,Unnamed: 0.1.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0.0,,,0.00011588399999999999,326.9951761000001,164.9307995,1.0,438.27550360000004,122.08286629999999,0.9999997620000001,217.58028169999997,145.9809494,0.992766857,213.32050049999998,258.57422540000005,1.0,,4.6889061726532315,0.0,,0.0,,,,False,0
1,1,1,1.0,,,0.000348845,326.3167996,165.4731894,1.0,443.0390676,127.4029307,0.9999983309999999,,,0.316535085,213.1766034,258.7784362,1.0,,4.8351800496544435,-0.6783765000000699,,-0.18294728703746727,,,-0.86855136829916,False,0
2,2,2,2.0,,,0.00046433900000000003,324.9585459,166.73144440000004,1.0,443.5494306,130.3729159,0.999980807,,,0.077164106,213.5571892,259.6199903,1.0,,5.174511289240886,-2.036630200000104,,-0.5492465758889868,,,-1.851501757652124,False,0
3,3,3,3.0,,,0.000695309,323.8746896,167.9375014,1.0,441.57607010000004,132.81226170000002,0.999998927,,,0.749970198,213.2838545,259.339396,1.0,,5.499765563471372,-3.120486500000084,,-0.8415452767187521,,,-1.6215171803895714,False,0
4,4,4,4.0,,,0.000947063,325.8549954,171.068964,1.0,439.60999110000006,137.7193708,1.0,,,0.0009241189999999999,213.45957349999998,259.7446961,1.0,,6.344270918726504,-1.1401807000000872,,-0.3074884902373165,,,-3.705086918914634,False,0
5,5,5,5.0,,,0.00021586900000000002,325.5651641,173.0361242,1.0,440.1681399,142.43013380000005,0.9999998809999999,,,8.46e-05,213.16615609999997,259.3067508,1.0,,6.8747825472366975,-1.4300120000000902,,-0.3856513541241661,,,-1.9883966995858025,False,0
6,6,6,6.0,,,0.000350865,325.15701960000007,175.2217109,1.0,440.786129,149.557711,1.0,,,3.9e-05,212.9929413,258.5697379,1.0,,7.464200307654594,-1.838156500000025,,-0.4957213948673876,,,-2.2233693251678086,False,0
7,7,7,7.0,,,0.000606903,325.618063,177.9656458,1.0,442.08849189999995,157.40384719999997,1.0,,,5.550000000000003e-05,213.17334080000003,258.3982859,1.0,,8.204195643227646,-1.3771131000000878,,-0.37138536725365134,,,-2.78239820157387,False,0
8,8,8,8.0,,,0.000277881,325.47392379999997,180.20437719999998,1.0,442.21030279999997,159.74966740000005,1.0,,,5.5100000000000004e-05,213.1401762,258.22394180000003,1.0,,8.807945678842898,-1.5212523000000715,,-0.4102574030564028,,,-2.243366753413831,False,0
9,9,9,9.0,,,0.000212688,325.0095395,182.1581459,1.0,443.38523849999996,164.2293091,1.0,,,0.003835141,213.8056116,258.5288692,1.0,,9.334845834086599,-1.9856366000000776,,-0.5354944179408891,,,-2.0081994201737485,False,0
10,10,10,10.0,,,0.000319884,324.64017739999997,184.3092594,1.0,443.60325240000003,170.9536991,1.0,,,0.002111201,213.52533849999998,258.43595120000003,1.0,,9.914966724085934,-2.354998700000067,,-0.6351054659790403,,,-2.1825942478616422,False,0
