,Unnamed: 0,Unnamed: 0.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0.0,367.0435092,191.1297731,1.0,262.2773199,204.0209341,1.0,295.0133522,126.5763712,1.0,456.81555989999987,192.1561055,0.999922752,235.8460214,308.7787523,1.0,-0.698103006293545,2.6917574749170776,0.0,104.7661893,0.0,27.549323515166783,,,False,0
1,1,1,1.0,366.310734,191.0658422,1.0,264.4830279,188.2258787,1.0,303.4535058,113.1594009,1.0,456.4437766,192.3665495,0.999994278,237.425236,307.9710970000001,1.0,-0.7149142796488492,-1.4617112544698552,2.2057080000000155,104.03341410000002,0.5800131099355726,27.356632903972717,0.7355587357307629,15.94832037771796,True,1
2,2,2,2.0,365.0676351,195.9786568,1.0,256.5410185,186.9450889,1.0,297.1568098,123.5318155,1.0,455.6692407,193.8429296,1.0,236.6414909,308.5191612,1.0,0.5769597465970895,-1.7985078182361196,-5.736301400000002,102.7903152,-1.5084181652973816,27.02974754156459,-5.067646610523905,8.044621546192996,False,0
3,3,3,3.0,365.0189306,195.6314287,1.0,252.4764628,189.5517225,1.0,294.3802462,119.56516670000002,1.0,456.5605912,193.9635839,1.0,235.78320980000004,308.4704857,1.0,0.4856526242862341,-1.1130672881212758,-9.800857100000002,102.74161069999997,-2.5772339795680566,27.016940203280072,0.3506272689764374,-4.828576577320847,True,1
4,4,4,4.0,366.9565732,195.1547966,1.0,247.5548525,189.8870678,1.0,296.2661486,110.0518026,1.0,457.0290842,193.7395527,1.0,234.3406487,308.0283585,1.0,0.3603174182589111,-1.0248848676217008,-14.7224674,104.67925329999996,-3.87142092362136,27.52646281931521,1.99540397014864,-4.9330218340585565,True,0
5,5,5,5.0,366.0143592,195.5627561,1.0,246.5042195,189.6459008,1.0,298.2667532,105.8850627,1.0,457.200511,193.5348496,1.0,235.2120528,305.4815836,1.0,0.4675944732103198,-1.0883021566208984,-15.773100400000004,103.73703929999999,-4.147695441250593,27.27869816852516,-1.0267415329265297,1.0779569669416331,False,0
6,6,6,6.0,366.8367536,196.4002339,1.0,249.57017180000003,193.4811802,1.0,297.8401446000001,104.5450988,1.0,455.87335089999993,193.6768532,1.0,235.8544755,306.3378911000001,1.0,0.6878176864733587,-0.07977685215365597,-12.707148099999984,104.5594337,-3.3414724378262406,27.494955050006126,-1.1737553470141606,-4.9101355971031655,False,0
7,7,7,7.0,368.0119572,197.1244035,1.0,250.0677133,193.6510315,1.0,295.1899850000001,105.62724540000002,1.0,457.2112808,193.5462949,1.0,235.0655913,306.3790832,1.0,0.8782453685676354,-0.03511274396726614,-12.2096066,105.73463729999996,-3.2106388947022197,27.803986660193626,-1.3804075887277043,-0.5257347319075429,False,0
8,8,8,8.0,367.7994173,198.6161928,1.0,249.1544466,195.1292396,1.0,296.391192,108.2591972,1.0,456.2696157,193.8521891,1.0,235.0266776,306.6559563,1.0,1.2705263736968733,0.35359694798332664,-13.122873300000007,105.52209740000002,-3.4507915617223324,27.748097155152887,-1.5068538498097508,-1.7375716538417962,False,0
9,9,9,9.0,368.6576591,200.2189312,1.0,248.6819057,197.090663,1.0,297.1550951000001,109.9363146,1.0,456.0295563,193.49976730000003,1.0,235.1481719,306.9611974,1.0,1.6919825609152868,0.8693729646339428,-13.595414200000027,106.38033919999998,-3.5750509455486412,27.973780471119778,-1.818061980819612,-2.0175422315877922,False,0
