,Unnamed: 0,Unnamed: 0.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,406.0148904323578,206.45368242263802,1.0,284.4789608418941,195.11744165420532,1.0,340.2236137241125,134.90953707695007,1.0,207.91789484024048,196.86788976192474,0.9985657334327698,202.34621000289917,313.9695792198181,1.0,3.244620388648153,0.3825949914024704,0.0,121.5359295904637,0.0,30.683797589618486,,,False,0
1,1,1,1,405.86238646507263,209.28203582763672,1.0,283.9514718055725,195.6808526515961,1.0,341.28165221214294,135.061128616333,1.0,426.57630348205566,195.0808578133583,0.9209877848625184,202.56443643569943,313.6527199745178,1.0,3.95868596319326,0.5248376110290873,-0.5274890363215832,121.38342562317854,-0.13317351400342073,30.6452953880098,-2.8324619050581097,-0.7718009040033401,False,0
2,2,2,2,405.45066499710083,205.94399547576904,1.0,284.6872682571411,195.39091968536374,1.0,339.41172122955317,132.45850872993472,1.0,429.7987926006317,193.6826107501984,0.9888222217559814,202.7819895744324,313.4320783615113,1.0,3.1159413127197655,0.4516391381132282,0.20830741524702034,120.97170415520674,0.052590724301809284,30.54134935140057,3.363335837808311,0.7908587377333838,True,2
3,3,3,3,409.2406599521637,178.122563123703,1.0,285.20853209495544,198.002023935318,1.0,343.42551469802856,147.22773408889768,1.0,426.40580010414124,193.2071416378021,0.997997224330902,203.14124631881714,314.15720224380493,1.0,-3.908049056388669,1.1108564951611588,0.7295712530613514,124.76169911026959,0.18419258182804368,31.498197572816967,28.07839311427897,-2.6626267843507625,True,0
4,4,4,4,412.4441251754761,184.38085174560547,1.0,285.2649984359741,197.14432942867282,1.0,352.5182967185974,143.18420314788818,1.0,409.6224101506747,193.30655963604264,0.3072091341018677,203.01146841049197,313.8657402992248,1.0,-2.3280384210239715,0.8943170345727635,0.7860375940800282,127.96516433358198,0.1984484630664704,32.30696645975204,-7.030530983645977,0.859551228489231,False,0
5,5,5,5,412.5944680571556,186.63472604751587,1.0,285.37060737609863,197.8162981271744,1.0,353.3853545188904,137.22139835357666,1.0,392.8390201972081,193.40597763428318,0.7899273037910461,203.0247092247009,313.8304786682129,1.0,-1.7590097962765463,1.0639668788686834,0.8916465342045399,128.11550721526152,0.2251112232342169,32.34492305880912,-2.25888298742626,-0.6802170094904562,False,0
6,6,6,6,413.2026600837708,187.88911819458008,1.0,285.8242837190628,199.00119018554688,1.0,356.7191274166107,131.84484481811523,1.0,376.05563024374163,193.5053956325237,0.06757913529872894,202.88849925994882,313.7985920906067,1.0,-1.4423173180256936,1.3631128862029622,1.3453228771687122,128.72369924187672,0.3396494764538086,32.498471405402306,-1.3940578179740823,-1.268775557046829,False,0
7,7,7,7,414.188351392746,191.0126428604126,1.0,286.4772443771363,200.2428951263428,1.0,355.1811079978943,133.63561081886292,1.0,359.27224029027496,193.60481363076423,0.5426201224327087,202.65946578979492,313.5238790512085,1.0,-0.6537307746426745,1.676602265004743,1.9982835352421944,129.70939055085188,0.5045004199881467,32.74732581999686,-3.2753616128075573,-1.402921516332532,False,0
8,8,8,8,414.07958054542536,191.76715660095212,1.0,286.79892373085016,201.58501291275024,1.0,357.2115354537964,132.82336044311523,1.0,342.4888503368085,193.70423162900482,0.6322834491729736,203.2023906707764,314.0605983734132,1.0,-0.46324104069064,2.0154425621771117,2.31996288895607,129.6006197035313,0.5857138044693916,32.71986478296786,-0.7623136374811786,-1.380129616810316,False,0
9,9,9,9,412.09001982957125,191.06502032279968,1.0,289.4575519561768,201.82601404190063,1.0,358.9249908924103,129.11112308502194,1.0,325.7054603833418,193.80364962724533,0.7324485778808594,203.51374578475952,313.72164678573614,1.0,-0.6405071998565293,2.0762873665953463,4.978591114282722,127.61105898767715,1.2569293915542703,32.21756658602122,2.1098216026876964,-2.6695290941953242,True,5
10,10,10,10,412.9280010461807,191.3204925060272,1.0,290.7715559005738,203.12988901138303,1.0,361.0056591033936,126.14462065696716,1.0,308.92207042987536,193.90306762548587,0.5547429919242859,204.00130748748782,313.85536193847656,1.0,-0.5760089334891658,2.405472618895477,6.292595058679694,128.44904020428663,1.5886718746018569,32.42912909367628,-0.8760585344560782,-1.851133788231827,False,0
11,11,11,11,415.3787178993225,192.22536659240725,1.0,288.8369603157044,203.86831602454185,1.0,356.56698912382126,127.49880123138428,1.0,292.1386804764088,194.00248562372641,0.17038388550281525,203.11830186843872,313.67101430892944,1.0,-0.3475581913577184,2.591900986891848,4.35799947381031,130.89975705742842,1.1002505530722642,33.047853944217685,-2.6124337707347385,-2.070732848717763,False,0
