,Unnamed: 0,Unnamed: 0.1,bodyparts coords,Rightpaw x,Rightpaw y,Rightpaw likelihood,Leftpaw x,Leftpaw y,Leftpaw likelihood,Tailbase x,Tailbase y,Tailbase likelihood,Rotarodtop x,Rotarodtop y,Rotarodtop likelihood,Rotarodbottom x,Rotarodbottom y,Rotarodbottom likelihood,rel RightY mm,rel LeftY mm,rel LeftX px,rel RightX px,rel LeftX mm,rel RightX mm,Rightpaw euclidean velocity,Leftpaw euclidean velocity,step up,wait time b4 step up
0,0,0,0,305.3103971481323,96.54012870788574,1.0,189.75373363494882,90.49761760234831,0.9999991655349731,250.8621864318848,32.77160096168518,1.0,377.07065296173096,103.3172960281372,1.0,147.96634006500244,215.12204313278198,1.0,-2.4339046787498235,-4.060730601021259,0.0,115.55666351318352,0.0,31.11133308835261,,,False,0
1,1,1,1,312.5726661682129,95.05491328239441,1.0,187.93137292563915,91.74052157998085,0.9999994039535522,256.9680318832397,35.9639955945313,1.0,376.1673698425293,103.4926278591156,1.0,148.2191390991211,215.3946776390076,1.0,-2.8337693893223004,-3.726103427915377,-1.8223607093096632,122.81893253326409,-0.4906343720108462,33.066554566646445,7.412584986368746,-2.2058578495565846,True,1
2,2,2,2,312.85666813850406,95.39441995620727,0.004466696176677942,187.09364968538284,92.20573678612708,0.9999985694885254,260.3861277103424,30.041147232055664,1.0,376.5642967224121,104.10739469528198,1.0,148.7494411468506,215.31803035736084,1.0,-2.7423639705988214,-3.60085348735673,-2.6600839495659727,123.10293450355525,-0.7161746911158078,33.14301644800277,-0.4426306594585848,-0.9582303560706089,False,0
3,3,3,3,313.14067010879523,95.73392663002014,0.004632529336959125,186.74170160293582,93.34878301620485,1.0,262.82713675498957,27.388240575790405,1.0,376.57175731658936,104.38514995574951,1.0,149.24534606933594,215.3375518321991,1.0,-2.650958551875344,-3.293111026487926,-3.0120320320129963,123.38693647384642,-0.8109297116392857,33.219478329359085,-0.4426306594585848,-1.1960025655629438,False,0
4,4,4,4,313.4246720790864,96.07343330383301,0.00471872091293335,186.11192083358762,94.5313515663147,1.0,266.00226163864136,31.18114995956421,1.0,377.1624255180359,104.18986892700195,1.0,149.11841964721683,215.59276342391968,1.0,-2.5595531331518604,-2.9747279670974978,-3.6418128013611977,123.67093844413759,-0.9804856566808758,33.29594021071541,-0.4426306594585957,-1.339810506433549,False,0
5,5,5,5,313.70867404937746,96.41293997764583,0.004427495412528515,184.20547199249268,95.5858211517334,0.9999998807907104,262.458476305008,41.85590791702271,1.0,377.1270580291748,104.18488693237305,1.0,148.78203296661374,215.5738837718964,1.0,-2.468147714428389,-2.6908330059059646,-5.548261642456138,123.95494041442863,-1.4937590855597032,33.37240209207169,-0.4426306594584791,-2.1786356488144905,False,0
6,6,6,6,313.99267601966864,96.75244665145874,0.9986984729766846,183.55499863624573,95.95321249961852,1.0,258.8713309764862,50.26777219772339,1.0,377.04063272476196,104.00314712524414,1.0,148.23081302642822,215.04151248931885,1.0,-2.376742295704904,-2.591920193348611,-6.198734998703087,124.23894238471979,-1.6688860980230618,33.44886397342801,-0.4426306594586175,-0.7470555465880785,False,0
7,7,7,7,313.178329885006,97.50687253475188,0.004532029386609793,184.36658668518064,95.66747164726256,1.0,261.93721079826355,43.44586992263794,1.0,376.65137195587164,104.18691778182985,1.0,148.51685905456543,214.98434376716614,1.0,-2.173628133076543,-2.6688502341123943,-5.38714694976818,123.4245962500572,-1.4503821593206478,33.229617475005085,-1.1100982120617051,0.8604202437641036,False,0
8,8,8,8,312.3639837503434,98.26129841804504,0.004330537747591735,182.1586945056916,95.74894452095032,1.0,262.5473306179046,37.32874155044557,1.0,377.1463479995728,104.28154182434082,1.0,149.08829021453855,214.9740626811981,1.0,-1.970513970448176,-2.646915283466506,-7.595039129257202,122.61025011539455,-2.0448132109874786,33.010370976582166,-1.1100982120617242,-2.2093948731260618,False,0
9,9,9,9,311.5496376156807,99.0157243013382,0.6268977522850037,181.35272097587585,96.56884622573851,1.0,257.32173299789434,42.710227012634284,1.0,376.25730752944946,104.00765180587769,1.0,148.82971572875974,215.42436575889587,1.0,-1.7673998078198114,-2.426173058294321,-8.401012659072961,121.79590398073186,-2.261805552096676,32.791124478159226,-1.1100982120617564,-1.1497095877995716,False,0
10,10,10,10,310.73529148101807,99.77015018463136,0.9683266282081604,179.7759828567505,96.37127876281738,1.0,256.15633296966547,42.87205934524536,1.0,375.6493923664093,103.80220174789429,1.0,148.7457780838013,215.50536251068115,1.0,-1.5642856451914438,-2.479364167828724,-9.977750778198327,120.98155784606924,-2.6863109274324333,32.5718779797363,-1.1100982120617242,1.5890676507650918,False,0
11,11,11,11,311.0799914995829,99.78913299739362,0.5207306742668152,179.11413264274597,98.20350933074951,1.0,253.9992573261261,47.594087839126594,1.0,375.4714455604553,104.05000877380371,1.0,148.6695261001587,215.60429048538208,1.0,-1.5591749004464368,-1.9860725327072704,-10.639600992202844,121.32625786463407,-2.8645009325474806,32.6646816032323,-0.34522231964193123,-1.948105376986244,False,0
