,accuracy,0,1,2,3,4,5,6,7,8,9
a1,0.42857142857142855,1.0,,,,,,,,,
b1,0.5714285714285714,1.0,,,,,,,,,
c1,0.42857142857142855,1.0,,,,,,,,,
d1,0.6428571428571429,1.0,,,,,,,,,
e1,0.5,1.0,,,,,,,,,
f1,0.5,1.0,,,,,,,,,
g1,0.5714285714285714,1.0,,,,,,,,,
h1,0.5,1.0,,,,,,,,,
i1,0.5714285714285714,1.0,,,,,,,,,
j1,0.5714285714285714,1.0,,,,,,,,,
k1,0.7142857142857143,1.0,,,,,,,,,
l1,0.5714285714285714,1.0,,,,,,,,,
m1,0.35714285714285715,1.0,,,,,,,,,
n1,0.42857142857142855,1.0,,,,,,,,,
o1,0.42857142857142855,1.0,,,,,,,,,
p1,0.5,1.0,,,,,,,,,
q1,0.7142857142857143,1.0,,,,,,,,,
r1,0.42857142857142855,1.0,,,,,,,,,
s1,0.21428571428571427,1.0,,,,,,,,,
t1,0.42857142857142855,1.0,,,,,,,,,
u1,0.42857142857142855,1.0,,,,,,,,,
v1,0.35714285714285715,1.0,,,,,,,,,
w1,0.35714285714285715,1.0,,,,,,,,,
x1,0.14285714285714285,1.0,,,,,,,,,
y1,0.21428571428571427,1.0,,,,,,,,,
z1,0.35714285714285715,1.0,,,,,,,,,
a2,0.42857142857142855,0.44,0.56,,,,,,,,
b2,0.35714285714285715,0.3,0.7,,,,,,,,
c2,0.5714285714285714,0.42,0.58,,,,,,,,
d2,0.5,0.56,0.44,,,,,,,,
e2,0.5,0.44,0.56,,,,,,,,
f2,0.42857142857142855,0.48,0.52,,,,,,,,
g2,0.5714285714285714,0.4,0.6,,,,,,,,
h2,0.35714285714285715,0.28,0.72,,,,,,,,
i2,0.2857142857142857,0.38,0.62,,,,,,,,
j2,0.5,0.42,0.58,,,,,,,,
k2,0.5,0.44,0.56,,,,,,,,
l2,0.7142857142857143,0.42,0.58,,,,,,,,
m2,0.35714285714285715,0.46,0.54,,,,,,,,
n2,0.5714285714285714,0.56,0.44,,,,,,,,
o2,0.2857142857142857,0.44,0.56,,,,,,,,
p2,0.2857142857142857,0.46,0.54,,,,,,,,
q2,0.5,0.4,0.6,,,,,,,,
r2,0.42857142857142855,0.54,0.46,,,,,,,,
s2,0.21428571428571427,0.28,0.72,,,,,,,,
t2,0.21428571428571427,0.38,0.62,,,,,,,,
u2,0.35714285714285715,0.5,0.5,,,,,,,,
v2,0.42857142857142855,0.42,0.58,,,,,,,,
w2,0.5,0.52,0.48,,,,,,,,
x2,0.35714285714285715,0.14,0.86,,,,,,,,
y2,0.21428571428571427,0.48,0.52,,,,,,,,
z2,0.42857142857142855,0.56,0.44,,,,,,,,
a3,0.5,0.28,0.58,0.14,,,,,,,
b3,0.6428571428571429,0.2,0.54,0.26,,,,,,,
c3,0.2857142857142857,0.36,0.38,0.26,,,,,,,
d3,0.5,0.48,0.32,0.2,,,,,,,
e3,0.42857142857142855,0.24,0.26,0.5,,,,,,,
f3,0.5,0.48,0.24,0.28,,,,,,,
g3,0.2857142857142857,0.28,0.2,0.52,,,,,,,
h3,0.6428571428571429,0.28,0.4,0.32,,,,,,,
i3,0.5,0.18,0.64,0.18,,,,,,,
j3,0.2857142857142857,0.18,0.4,0.42,,,,,,,
k3,0.5,0.26,0.36,0.38,,,,,,,
l3,0.42857142857142855,0.4,0.32,0.28,,,,,,,
m3,0.42857142857142855,0.34,0.42,0.24,,,,,,,
n3,0.5,0.44,0.28,0.28,,,,,,,
o3,0.35714285714285715,0.36,0.28,0.36,,,,,,,
p3,0.5714285714285714,0.18,0.52,0.3,,,,,,,
q3,0.42857142857142855,0.26,0.32,0.42,,,,,,,
r3,0.5714285714285714,0.26,0.4,0.34,,,,,,,
s3,0.2857142857142857,0.28,0.48,0.24,,,,,,,
t3,0.5,0.4,0.28,0.32,,,,,,,
u3,0.5,0.3,0.34,0.36,,,,,,,
v3,0.5714285714285714,0.3,0.34,0.36,,,,,,,
w3,0.5714285714285714,0.34,0.28,0.38,,,,,,,
x3,0.5,0.22,0.56,0.22,,,,,,,
y3,0.42857142857142855,0.42,0.36,0.22,,,,,,,
z3,0.42857142857142855,0.38,0.36,0.26,,,,,,,
a4,0.2857142857142857,0.24,0.28,0.26,0.22,,,,,,
b4,0.5,0.16,0.42,0.1,0.32,,,,,,
c4,0.5714285714285714,0.2,0.34,0.32,0.14,,,,,,
d4,0.21428571428571427,0.28,0.1,0.22,0.4,,,,,,
e4,0.35714285714285715,0.24,0.28,0.2,0.28,,,,,,
f4,0.6428571428571429,0.28,0.22,0.22,0.28,,,,,,
g4,0.5,0.22,0.34,0.2,0.24,,,,,,
h4,0.5,0.24,0.22,0.22,0.32,,,,,,
i4,0.42857142857142855,0.14,0.28,0.16,0.42,,,,,,
j4,0.35714285714285715,0.24,0.38,0.22,0.16,,,,,,
k4,0.35714285714285715,0.28,0.32,0.12,0.28,,,,,,
l4,0.42857142857142855,0.32,0.12,0.16,0.4,,,,,,
m4,0.5714285714285714,0.3,0.46,0.06,0.18,,,,,,
n4,0.5,0.3,0.26,0.16,0.28,,,,,,
o4,0.5,0.36,0.3,0.22,0.12,,,,,,
p4,0.42857142857142855,0.26,0.18,0.34,0.22,,,,,,
q4,0.5,0.22,0.32,0.18,0.28,,,,,,
r4,0.42857142857142855,0.38,0.2,0.18,0.24,,,,,,
s4,0.35714285714285715,0.26,0.3,0.18,0.26,,,,,,
t4,0.5,0.3,0.26,0.2,0.24,,,,,,
u4,0.5714285714285714,0.06,0.32,0.34,0.28,,,,,,
v4,0.42857142857142855,0.38,0.12,0.22,0.28,,,,,,
w4,0.5714285714285714,0.26,0.34,0.14,0.26,,,,,,
x4,0.5,0.28,0.26,0.22,0.24,,,,,,
y4,0.6428571428571429,0.24,0.32,0.22,0.22,,,,,,
z4,0.6428571428571429,0.26,0.24,0.24,0.26,,,,,,
a5,0.5384615384615384,0.28,0.2,0.14,0.18,0.2,,,,,
b5,0.3076923076923077,0.26,0.24,0.12,0.26,0.12,,,,,
c5,0.6153846153846154,0.36,0.14,0.16,0.2,0.14,,,,,
d5,0.23076923076923078,0.06,0.14,0.4,0.2,0.2,,,,,
e5,0.6923076923076923,0.18,0.2,0.22,0.2,0.2,,,,,
f5,0.46153846153846156,0.32,0.12,0.1,0.22,0.24,,,,,
g5,0.46153846153846156,0.3,0.22,0.12,0.12,0.24,,,,,
h5,0.38461538461538464,0.34,0.16,0.04,0.28,0.18,,,,,
i5,0.6923076923076923,0.3,0.18,0.16,0.18,0.18,,,,,
j5,0.38461538461538464,0.26,0.44,0.04,0.18,0.08,,,,,
k5,0.6153846153846154,0.22,0.16,0.12,0.3,0.2,,,,,
l5,0.5384615384615384,0.2,0.18,0.2,0.2,0.22,,,,,
m5,0.3076923076923077,0.24,0.16,0.18,0.24,0.18,,,,,
n5,0.46153846153846156,0.28,0.4,0.12,0.14,0.06,,,,,
o5,0.46153846153846156,0.3,0.22,0.1,0.22,0.16,,,,,
p5,0.5384615384615384,0.38,0.28,0.08,0.18,0.08,,,,,
q5,0.5384615384615384,0.34,0.3,0.08,0.16,0.12,,,,,
r5,0.5384615384615384,0.22,0.2,0.18,0.2,0.2,,,,,
s5,0.5384615384615384,0.18,0.18,0.18,0.24,0.22,,,,,
t5,0.5384615384615384,0.34,0.1,0.1,0.24,0.22,,,,,
u5,0.38461538461538464,0.18,0.2,0.2,0.28,0.14,,,,,
v5,0.6153846153846154,0.34,0.22,0.1,0.28,0.06,,,,,
w5,0.3076923076923077,0.16,0.28,0.14,0.22,0.2,,,,,
x5,0.6923076923076923,0.18,0.34,0.08,0.16,0.24,,,,,
y5,0.38461538461538464,0.26,0.2,0.12,0.32,0.1,,,,,
z5,0.5384615384615384,0.28,0.12,0.14,0.4,0.06,,,,,
a6,0.6923076923076923,0.12,0.32,0.08,0.18,0.1,0.2,,,,
b6,0.5384615384615384,0.1,0.14,0.04,0.26,0.22,0.24,,,,
c6,0.46153846153846156,0.22,0.16,0.2,0.22,0.14,0.06,,,,
d6,0.46153846153846156,0.2,0.12,0.04,0.24,0.14,0.26,,,,
e6,0.46153846153846156,0.14,0.16,0.1,0.12,0.02,0.46,,,,
f6,0.38461538461538464,0.1,0.08,0.02,0.34,0.18,0.28,,,,
g6,0.6153846153846154,0.2,0.06,0.2,0.26,0.14,0.14,,,,
h6,0.6153846153846154,0.14,0.22,0.16,0.14,0.12,0.22,,,,
i6,0.46153846153846156,0.08,0.22,0.22,0.2,0.22,0.06,,,,
j6,0.46153846153846156,0.1,0.28,0.2,0.14,0.1,0.18,,,,
k6,0.5384615384615384,0.02,0.24,0.08,0.34,0.12,0.2,,,,
l6,0.46153846153846156,0.32,0.2,0.14,0.18,0.06,0.1,,,,
m6,0.5384615384615384,0.3,0.1,0.06,0.26,0.02,0.26,,,,
n6,0.7692307692307693,0.2,0.18,0.14,0.22,0.06,0.2,,,,
o6,0.5384615384615384,0.2,0.14,0.08,0.24,0.14,0.2,,,,
p6,0.6923076923076923,0.22,0.26,0.06,0.24,0.06,0.16,,,,
q6,0.6923076923076923,0.28,0.3,0.08,0.12,0.06,0.16,,,,
r6,0.7692307692307693,0.2,0.12,0.18,0.28,0.08,0.14,,,,
s6,0.6153846153846154,0.16,0.14,0.1,0.18,0.24,0.18,,,,
t6,0.6153846153846154,0.12,0.1,0.18,0.24,0.2,0.16,,,,
u6,0.5384615384615384,0.24,0.04,0.12,0.22,0.16,0.22,,,,
v6,0.7692307692307693,0.16,0.24,0.12,0.28,0.04,0.16,,,,
w6,0.6153846153846154,0.16,0.2,0.06,0.2,0.16,0.22,,,,
x6,0.5384615384615384,0.1,0.34,0.18,0.16,0.04,0.18,,,,
y6,0.6153846153846154,0.1,0.44,0.02,0.1,0.14,0.2,,,,
z6,0.6153846153846154,0.1,0.08,0.26,0.26,0.12,0.18,,,,
a7,0.5,0.16,0.18,0.12,0.18,0.08,0.08,0.2,,,
b7,0.5833333333333334,0.08,0.18,0.12,0.12,0.0,0.14,0.36,,,
c7,0.4166666666666667,0.08,0.3,0.1,0.2,0.0,0.14,0.18,,,
d7,0.4166666666666667,0.12,0.2,0.16,0.2,0.06,0.06,0.2,,,
e7,0.6666666666666666,0.2,0.1,0.14,0.12,0.12,0.12,0.2,,,
f7,0.5,0.22,0.12,0.16,0.18,0.04,0.12,0.16,,,
g7,0.5833333333333334,0.08,0.04,0.18,0.3,0.02,0.06,0.32,,,
h7,0.5833333333333334,0.16,0.36,0.06,0.1,0.08,0.02,0.22,,,
i7,0.6666666666666666,0.22,0.12,0.12,0.16,0.04,0.12,0.22,,,
j7,0.5833333333333334,0.14,0.3,0.1,0.08,0.0,0.18,0.2,,,
k7,0.4166666666666667,0.22,0.04,0.16,0.2,0.12,0.1,0.16,,,
l7,0.5,0.14,0.08,0.06,0.26,0.16,0.08,0.22,,,
m7,0.4166666666666667,0.22,0.18,0.14,0.1,0.08,0.04,0.24,,,
n7,0.6666666666666666,0.14,0.1,0.06,0.0,0.06,0.32,0.32,,,
o7,0.6666666666666666,0.14,0.1,0.08,0.18,0.12,0.24,0.14,,,
p7,0.4166666666666667,0.14,0.06,0.22,0.2,0.04,0.22,0.12,,,
q7,0.5833333333333334,0.14,0.06,0.14,0.14,0.1,0.12,0.3,,,
r7,0.3333333333333333,0.02,0.04,0.18,0.14,0.14,0.06,0.42,,,
