,accuracy,0,1,2,3,4,5,6,7,8,9
a1,0.5,1.0,,,,,,,,,
b1,0.5,1.0,,,,,,,,,
c1,0.35714285714285715,1.0,,,,,,,,,
d1,0.42857142857142855,1.0,,,,,,,,,
e1,0.35714285714285715,1.0,,,,,,,,,
f1,0.6428571428571429,1.0,,,,,,,,,
g1,0.5714285714285714,1.0,,,,,,,,,
h1,0.5,1.0,,,,,,,,,
i1,0.2857142857142857,1.0,,,,,,,,,
j1,0.5714285714285714,1.0,,,,,,,,,
k1,0.5714285714285714,1.0,,,,,,,,,
l1,0.35714285714285715,1.0,,,,,,,,,
m1,0.5714285714285714,1.0,,,,,,,,,
n1,0.2857142857142857,1.0,,,,,,,,,
o1,0.5714285714285714,1.0,,,,,,,,,
p1,0.5,1.0,,,,,,,,,
q1,0.6428571428571429,1.0,,,,,,,,,
r1,0.5,1.0,,,,,,,,,
s1,0.35714285714285715,1.0,,,,,,,,,
t1,0.6428571428571429,1.0,,,,,,,,,
u1,0.35714285714285715,1.0,,,,,,,,,
v1,0.2857142857142857,1.0,,,,,,,,,
w1,0.42857142857142855,1.0,,,,,,,,,
x1,0.42857142857142855,1.0,,,,,,,,,
y1,0.5,1.0,,,,,,,,,
z1,0.5714285714285714,1.0,,,,,,,,,
a2,0.14285714285714285,0.7337068160597572,0.26629318394024276,,,,,,,,
b2,0.35714285714285715,0.43607793994790905,0.563922060052091,,,,,,,,
c2,0.5714285714285714,0.49447525062656633,0.5055247493734337,,,,,,,,
d2,0.42857142857142855,0.39741421043942055,0.6025857895605795,,,,,,,,
e2,0.42857142857142855,0.4241319444444444,0.5758680555555555,,,,,,,,
f2,0.35714285714285715,0.4479824561403509,0.552017543859649,,,,,,,,
g2,0.5714285714285714,0.30368310202869025,0.6963168979713097,,,,,,,,
h2,0.35714285714285715,0.37908231474407933,0.6209176852559206,,,,,,,,
i2,0.21428571428571427,0.6873949579831933,0.3126050420168066,,,,,,,,
j2,0.35714285714285715,0.40841269841269834,0.5915873015873017,,,,,,,,
k2,0.5,0.41287202380952376,0.5871279761904762,,,,,,,,
l2,0.42857142857142855,0.5522222222222223,0.44777777777777766,,,,,,,,
m2,0.42857142857142855,0.6309523809523809,0.369047619047619,,,,,,,,
n2,0.42857142857142855,0.4509044312169312,0.5490955687830689,,,,,,,,
o2,0.42857142857142855,0.34599023600668327,0.6540097639933167,,,,,,,,
p2,0.5,0.3742660525748762,0.6257339474251239,,,,,,,,
q2,0.5,0.38817193544084305,0.611828064559157,,,,,,,,
r2,0.42857142857142855,0.610473844710298,0.3895261552897019,,,,,,,,
s2,0.7142857142857143,0.5597222222222222,0.4402777777777778,,,,,,,,
t2,0.5714285714285714,0.493717486994798,0.506282513005202,,,,,,,,
u2,0.2857142857142857,0.6874903807676918,0.3125096192323082,,,,,,,,
v2,0.42857142857142855,0.37250063661828375,0.6274993633817162,,,,,,,,
w2,0.5,0.4265677478720956,0.5734322521279045,,,,,,,,
x2,0.5714285714285714,0.3679529282977557,0.6320470717022443,,,,,,,,
y2,0.35714285714285715,0.5592156862745098,0.4407843137254901,,,,,,,,
z2,0.5,0.49929971988795524,0.5007002801120448,,,,,,,,
a3,0.5714285714285714,0.36,0.2550427350427352,0.38495726495726484,,,,,,,
b3,0.35714285714285715,0.3397917871602083,0.2440926541902963,0.41611555864949534,,,,,,,
c3,0.6428571428571429,0.24479166666666663,0.4730654761904763,0.28214285714285714,,,,,,,
d3,0.42857142857142855,0.3382336182336182,0.4039886039886041,0.2577777777777777,,,,,,,
e3,0.5714285714285714,0.1808035714285714,0.576407967032967,0.24278846153846165,,,,,,,
f3,0.42857142857142855,0.12053571428571433,0.47991071428571425,0.39955357142857145,,,,,,,
g3,0.5714285714285714,0.39791666666666664,0.3814484126984127,0.22063492063492063,,,,,,,
h3,0.5,0.2607191915227628,0.46121958398744123,0.278061224489796,,,,,,,
i3,0.5714285714285714,0.21663780663780674,0.42174603174603165,0.36161616161616156,,,,,,,
j3,0.42857142857142855,0.23594053005817708,0.4096638655462185,0.3543956043956044,,,,,,,
